year,month,day,hour,power,lat,lng,PRES,WND
2000,9,18,0,1,15.1,172.5,1004.0,15.0
2000,9,18,6,2,15.6,171.9,998.0,18.0
2000,9,18,12,2,15.9,170.8,995.0,20.0
2000,9,18,18,2,16.3,170.1,995.0,20.0
2000,9,19,0,2,16.5,169.8,990.0,23.0
2000,9,19,6,3,17.0,169.9,985.0,25.0
2000,9,19,12,3,18.0,169.0,980.0,30.0
2000,9,19,18,4,19.1,169.8,970.0,35.0
2000,9,20,0,4,19.9,168.5,970.0,35.0
2000,9,20,6,4,20.3,168.1,960.0,40.0
2000,9,20,12,5,20.9,167.2,950.0,45.0
2000,9,20,18,5,21.2,166.6,950.0,45.0
2000,9,21,0,5,21.7,166.2,950.0,45.0
2000,9,21,6,5,22.3,166.0,940.0,50.0
2000,9,21,12,6,23.0,165.6,930.0,55.0
2000,9,21,18,6,23.6,165.4,930.0,55.0
2000,9,22,0,6,24.1,165.3,930.0,55.0
2000,9,22,6,6,24.8,165.3,930.0,55.0
2000,9,22,12,5,25.5,165.6,940.0,50.0
2000,9,22,18,5,26.5,166.0,945.0,45.0
2000,9,23,0,5,27.8,166.5,945.0,45.0
2000,9,23,6,5,28.8,167.1,950.0,45.0
2000,9,23,12,4,30.1,168.5,960.0,40.0
2000,9,23,18,4,31.1,169.7,970.0,35.0
2000,9,24,0,4,32.7,171.8,975.0,33.0
2000,9,24,6,3,35.3,174.7,980.0,30.0
2000,9,24,12,3,39.0,178.1,985.0,25.0
2000,9,24,18,2,43.3,178.0,990.0,23.0
