year,month,day,hour,power,lat,lng,PRES,WND
2000,12,29,0,1,7.4,130.3,1002.0,12.0
2000,12,29,6,1,8.5,129.8,1002.0,12.0
2000,12,29,12,1,9.4,129.2,998.0,15.0
2000,12,29,18,1,10.0,128.4,998.0,15.0
2000,12,30,0,2,10.4,127.7,995.0,18.0
2000,12,30,6,2,10.9,127.2,995.0,20.0
2000,12,30,12,2,11.2,127.2,995.0,20.0
2000,12,30,18,2,11.6,127.4,990.0,23.0
2000,12,31,0,2,12.1,127.6,990.0,23.0
2000,12,31,6,2,12.6,128.0,990.0,23.0
2000,12,31,12,3,13.7,129.4,990.0,25.0
2000,12,31,18,3,14.3,130.4,985.0,25.0
2001,1,1,0,3,14.9,131.5,985.0,25.0
2001,1,1,6,3,15.2,132.4,985.0,25.0
2001,1,1,12,2,15.5,133.2,985.0,23.0
2001,1,1,18,2,15.7,133.8,990.0,23.0
2001,1,2,0,2,15.9,134.4,990.0,23.0
2001,1,2,6,2,16.3,134.6,990.0,23.0
2001,1,2,12,2,16.6,134.7,990.0,23.0
2001,1,2,18,2,16.9,134.9,990.0,23.0
2001,1,3,0,3,17.2,135.1,985.0,28.0
2001,1,3,6,4,17.5,135.4,970.0,40.0
2001,1,3,12,4,17.9,135.9,965.0,40.0
2001,1,3,18,4,18.2,136.2,965.0,40.0
2001,1,4,0,4,18.3,136.7,975.0,35.0
2001,1,4,6,3,18.5,137.0,980.0,30.0
2001,1,4,12,2,18.3,137.2,990.0,23.0
2001,1,4,18,2,18.2,137.6,995.0,18.0
2001,1,5,0,1,18.0,138.0,1000.0,15.0
