year,month,day,hour,power,lat,lng,PRES,WND
2000,9,5,18,1,17.0,117.6,998.0,15.0
2000,9,6,0,2,17.7,117.6,995.0,18.0
2000,9,6,6,2,18.2,117.6,995.0,20.0
2000,9,6,12,3,18.8,117.1,985.0,25.0
2000,9,6,18,3,19.2,116.6,985.0,25.0
2000,9,7,0,3,18.9,115.9,980.0,30.0
2000,9,7,6,4,18.9,115.6,975.0,33.0
2000,9,7,12,4,19.1,115.2,975.0,33.0
2000,9,7,18,4,19.0,114.7,975.0,33.0
2000,9,8,0,4,18.9,114.2,970.0,35.0
2000,9,8,6,4,18.8,113.4,970.0,35.0
2000,9,8,12,4,18.7,112.4,970.0,35.0
2000,9,8,18,4,18.5,111.6,970.0,35.0
2000,9,9,0,4,18.5,110.6,960.0,40.0
2000,9,9,6,4,18.2,109.7,975.0,33.0
2000,9,9,12,3,18.3,109.0,980.0,30.0
2000,9,9,18,3,18.5,108.2,985.0,25.0
2000,9,10,0,3,18.3,107.0,985.0,25.0
2000,9,10,6,2,18.1,105.8,990.0,23.0
2000,9,10,12,2,17.8,104.4,995.0,18.0
