year,month,day,hour,power,lat,lng,PRES,WND
2001,7,21,6,1,24.0,151.7,1008.0,12.0
2001,7,21,12,1,24.5,151.5,1006.0,15.0
2001,7,21,18,1,24.8,151.1,1004.0,15.0
2001,7,22,0,1,25.0,150.3,1000.0,15.0
2001,7,22,6,2,25.2,149.7,996.0,18.0
2001,7,22,12,2,25.4,149.0,996.0,20.0
2001,7,22,18,2,25.3,148.6,996.0,20.0
2001,7,23,0,2,25.2,148.0,996.0,20.0
2001,7,23,6,2,25.3,147.2,996.0,20.0
2001,7,23,12,2,25.3,146.3,992.0,23.0
2001,7,23,18,3,25.3,145.3,990.0,25.0
2001,7,24,0,3,25.5,144.2,990.0,25.0
2001,7,24,6,3,25.8,143.0,985.0,25.0
2001,7,24,12,3,26.2,142.2,985.0,25.0
2001,7,24,18,3,26.8,141.4,985.0,25.0
2001,7,25,0,3,27.2,140.6,980.0,30.0
2001,7,25,6,4,27.5,140.4,975.0,33.0
2001,7,25,12,4,28.1,140.4,975.0,33.0
2001,7,25,18,4,28.6,140.5,970.0,35.0
2001,7,26,0,4,29.2,140.8,970.0,35.0
2001,7,26,6,4,29.7,141.2,970.0,35.0
2001,7,26,12,4,30.2,141.8,970.0,35.0
2001,7,26,18,4,30.7,142.6,970.0,35.0
2001,7,27,0,4,31.2,143.6,970.0,35.0
2001,7,27,6,4,31.6,144.7,970.0,35.0
2001,7,27,12,4,32.1,145.9,970.0,35.0
2001,7,27,18,4,32.6,147.0,975.0,33.0
2001,7,28,0,4,33.1,148.2,975.0,33.0
2001,7,28,6,3,33.8,149.8,980.0,30.0
2001,7,28,12,3,34.5,151.9,980.0,30.0
2001,7,28,18,3,36.0,153.4,985.0,25.0
2001,7,29,0,9,37.2,155.0,990.0,23.0
2001,7,29,6,9,38.8,157.1,990.0,23.0
2001,7,29,12,9,40.0,159.4,990.0,20.0
