year,month,day,hour,power,lat,lng,PRES,WND
2001,11,6,0,1,10.2,128.0,1004.0,15.0
2001,11,6,6,1,10.4,126.9,1002.0,15.0
2001,11,6,12,1,10.4,126.0,1002.0,15.0
2001,11,6,18,1,10.4,125.1,1000.0,15.0
2001,11,7,0,2,10.8,124.0,995.0,18.0
2001,11,7,6,2,10.8,123.6,995.0,20.0
2001,11,7,12,2,11.0,123.2,995.0,20.0
2001,11,7,18,2,11.3,122.8,995.0,20.0
2001,11,8,0,2,11.5,122.4,995.0,20.0
2001,11,8,6,3,11.7,121.7,990.0,25.0
2001,11,8,12,3,12.1,120.8,990.0,25.0
2001,11,8,18,3,12.5,119.9,985.0,28.0
2001,11,9,0,3,12.6,119.0,980.0,30.0
2001,11,9,6,3,13.0,117.7,980.0,30.0
2001,11,9,12,4,13.1,116.9,975.0,33.0
2001,11,9,18,4,13.4,116.0,970.0,35.0
2001,11,10,0,4,13.4,115.3,960.0,40.0
2001,11,10,6,5,13.5,114.8,955.0,45.0
2001,11,10,12,5,13.6,114.1,945.0,50.0
2001,11,10,18,5,13.6,113.3,940.0,50.0
2001,11,11,0,5,13.6,112.5,940.0,50.0
2001,11,11,6,5,13.6,111.7,945.0,50.0
2001,11,11,12,5,13.6,110.6,955.0,45.0
2001,11,11,18,4,13.6,109.4,970.0,35.0
2001,11,12,0,3,13.5,108.0,985.0,25.0
2001,11,12,6,2,13.4,107.1,990.0,20.0
2001,11,12,12,2,13.4,106.2,995.0,18.0
