year,month,day,hour,power,lat,lng,PRES,WND
2001,7,25,6,1,13.6,133.4,1004.0,12.0
2001,7,25,12,1,14.3,133.0,1004.0,12.0
2001,7,25,18,1,15.1,132.4,1004.0,12.0
2001,7,26,0,1,15.9,131.6,1002.0,15.0
2001,7,26,6,1,16.5,131.0,1002.0,15.0
2001,7,26,12,1,16.9,129.8,1002.0,15.0
2001,7,26,18,1,16.9,128.5,1000.0,15.0
2001,7,27,0,2,16.9,127.4,990.0,20.0
2001,7,27,6,3,17.1,126.7,990.0,25.0
2001,7,27,12,3,17.5,126.1,985.0,28.0
2001,7,27,18,4,17.9,125.5,975.0,33.0
2001,7,28,0,4,18.3,124.7,975.0,33.0
2001,7,28,6,4,19.1,124.2,965.0,40.0
2001,7,28,12,4,19.9,123.7,965.0,40.0
2001,7,28,18,4,20.5,123.1,965.0,40.0
2001,7,29,0,4,21.3,122.8,965.0,40.0
2001,7,29,6,4,22.2,122.4,965.0,40.0
2001,7,29,12,4,23.2,122.0,965.0,40.0
2001,7,29,18,4,23.7,121.3,970.0,35.0
2001,7,30,0,4,24.3,121.0,975.0,33.0
2001,7,30,6,3,25.3,120.6,980.0,30.0
2001,7,30,12,3,25.7,120.2,980.0,30.0
2001,7,30,18,3,26.3,119.8,985.0,30.0
2001,7,31,0,2,26.8,119.5,995.0,20.0
2001,7,31,6,1,27.7,119.6,998.0,15.0
2001,7,31,12,1,29.1,119.8,998.0,15.0
2001,7,31,18,1,30.7,120.0,998.0,15.0
2001,8,1,0,1,32.8,120.1,995.0,15.0
2001,8,1,6,1,34.5,120.3,995.0,15.0
2001,8,1,12,9,36.7,120.5,993.0,15.0
2001,8,1,18,9,38.3,120.2,995.0,15.0
2001,8,2,0,9,39.3,120.1,1000.0,15.0
2001,8,2,6,9,40.2,120.2,1004.0,12.0
