year,month,day,hour,power,lat,lng,PRES,WND
2002,10,8,12,1,10.1,156.0,1000.0,15.0
2002,10,8,18,1,11.2,155.3,1000.0,15.0
2002,10,9,0,1,11.9,154.6,1000.0,15.0
2002,10,9,6,1,12.7,153.4,1000.0,15.0
2002,10,9,12,2,13.1,152.3,998.0,18.0
2002,10,9,18,2,13.4,151.3,995.0,20.0
2002,10,10,0,2,13.9,150.4,995.0,20.0
2002,10,10,6,2,14.9,150.2,995.0,20.0
2002,10,10,12,2,16.0,150.2,990.0,23.0
2002,10,10,18,3,17.5,150.2,988.0,25.0
2002,10,11,0,3,19.0,149.4,988.0,25.0
2002,10,11,6,3,20.1,148.9,988.0,25.0
2002,10,11,12,3,21.5,148.7,985.0,25.0
2002,10,11,18,3,22.5,148.2,985.0,28.0
2002,10,12,0,3,23.2,147.4,985.0,28.0
2002,10,12,6,3,24.2,147.1,985.0,28.0
2002,10,12,12,3,25.9,146.8,980.0,30.0
2002,10,12,18,3,27.1,146.7,980.0,30.0
2002,10,13,0,3,28.1,147.1,988.0,25.0
2002,10,13,6,2,28.9,147.5,990.0,23.0
2002,10,13,12,9,30.8,148.0,990.0,20.0
2002,10,13,18,9,34.0,149.0,995.0,15.0
