year,month,day,hour,power,lat,lng,PRES,WND
2002,9,20,6,1,22.1,139.4,1002.0,12.0
2002,9,20,12,1,22.5,138.6,1002.0,12.0
2002,9,20,18,1,23.5,137.8,1002.0,12.0
2002,9,21,0,1,25.3,136.5,1000.0,15.0
2002,9,21,6,1,26.5,136.5,1000.0,15.0
2002,9,21,12,1,27.6,137.6,998.0,15.0
2002,9,21,18,1,28.5,137.4,998.0,15.0
2002,9,22,0,2,29.7,138.2,987.0,20.0
2002,9,22,6,2,30.9,138.9,990.0,20.0
2002,9,22,12,9,32.3,141.0,990.0,20.0
2002,9,22,18,9,33.2,142.8,990.0,20.0
2002,9,23,0,9,34.8,145.1,990.0,20.0
