year,month,day,hour,power,lat,lng,PRES,WND
2002,6,28,18,1,4.8,154.7,1002.0,12.0
2002,6,29,0,1,5.0,155.5,1000.0,15.0
2002,6,29,6,2,5.2,155.7,998.0,18.0
2002,6,29,12,2,5.2,155.7,995.0,20.0
2002,6,29,18,2,5.2,155.7,995.0,20.0
2002,6,30,0,2,5.5,155.9,995.0,20.0
2002,6,30,6,2,5.5,155.9,990.0,23.0
2002,6,30,12,2,5.8,155.4,990.0,23.0
2002,6,30,18,2,6.0,155.0,990.0,23.0
2002,7,1,0,2,6.5,154.8,990.0,23.0
2002,7,1,6,2,6.9,154.7,990.0,23.0
2002,7,1,12,2,7.0,154.3,990.0,23.0
2002,7,1,18,2,7.2,154.0,990.0,23.0
2002,7,2,0,2,7.4,153.4,990.0,23.0
2002,7,2,6,2,7.6,152.9,990.0,23.0
2002,7,2,12,2,7.7,152.2,990.0,23.0
2002,7,2,18,2,7.8,151.8,990.0,23.0
2002,7,3,0,2,8.0,151.2,990.0,23.0
2002,7,3,6,2,8.5,150.3,990.0,23.0
2002,7,3,12,2,9.0,149.6,990.0,23.0
2002,7,3,18,3,9.7,149.2,985.0,25.0
2002,7,4,0,3,10.6,148.7,985.0,25.0
2002,7,4,6,3,11.0,148.0,985.0,28.0
2002,7,4,12,3,11.6,146.7,980.0,30.0
2002,7,4,18,3,12.8,145.6,980.0,30.0
2002,7,5,0,4,13.8,144.5,975.0,33.0
2002,7,5,6,4,14.2,143.6,965.0,40.0
2002,7,5,12,4,14.8,142.8,960.0,40.0
2002,7,5,18,5,15.3,141.9,950.0,45.0
2002,7,6,0,5,15.9,141.0,950.0,45.0
2002,7,6,6,5,16.6,140.1,950.0,45.0
2002,7,6,12,5,17.2,139.4,950.0,45.0
2002,7,6,18,5,17.8,138.3,950.0,45.0
2002,7,7,0,5,18.8,137.3,950.0,45.0
2002,7,7,6,5,19.5,136.0,945.0,50.0
2002,7,7,12,5,20.1,134.9,940.0,50.0
2002,7,7,18,5,20.8,134.1,940.0,50.0
2002,7,8,0,5,21.6,133.7,940.0,50.0
2002,7,8,6,5,22.8,133.2,940.0,50.0
2002,7,8,12,5,24.0,132.9,940.0,50.0
2002,7,8,18,5,25.3,132.4,940.0,50.0
2002,7,9,0,5,26.4,132.4,950.0,45.0
2002,7,9,6,4,27.6,132.5,955.0,40.0
2002,7,9,12,4,28.3,132.9,960.0,35.0
2002,7,9,18,4,29.2,133.8,970.0,33.0
2002,7,10,0,3,30.6,134.9,975.0,30.0
2002,7,10,6,3,32.0,136.4,975.0,30.0
2002,7,10,12,3,34.2,138.8,980.0,28.0
2002,7,10,18,3,36.1,141.1,980.0,25.0
2002,7,11,0,3,38.9,142.3,980.0,25.0
2002,7,11,6,3,41.4,143.4,980.0,25.0
2002,7,11,12,2,43.0,144.0,985.0,23.0
2002,7,11,18,9,44.8,143.6,990.0,20.0
2002,7,12,0,9,45.9,143.6,990.0,20.0
2002,7,12,6,9,46.6,143.6,995.0,18.0
2002,7,12,12,9,47.5,143.5,995.0,18.0
