year,month,day,hour,power,lat,lng,PRES,WND
2002,7,14,6,1,11.5,170.7,998.0,15.0
2002,7,14,12,2,11.9,170.4,990.0,20.0
2002,7,14,18,2,12.4,170.2,990.0,20.0
2002,7,15,0,3,13.1,170.3,985.0,25.0
2002,7,15,6,3,13.6,170.4,980.0,30.0
2002,7,15,12,4,13.9,170.5,970.0,35.0
2002,7,15,18,4,14.3,170.3,965.0,35.0
2002,7,16,0,4,14.5,169.9,955.0,40.0
2002,7,16,6,4,14.5,169.5,950.0,40.0
2002,7,16,12,5,14.5,169.0,940.0,45.0
2002,7,16,18,5,14.5,168.5,935.0,45.0
2002,7,17,0,5,14.6,167.9,930.0,45.0
2002,7,17,6,5,14.6,167.3,930.0,45.0
2002,7,17,12,5,14.7,166.4,930.0,45.0
2002,7,17,18,5,14.7,165.5,930.0,50.0
2002,7,18,0,5,14.6,164.6,930.0,50.0
2002,7,18,6,5,14.6,163.8,930.0,50.0
2002,7,18,12,5,14.8,163.0,930.0,50.0
2002,7,18,18,6,15.0,162.1,925.0,55.0
2002,7,19,0,6,15.1,161.3,925.0,55.0
2002,7,19,6,6,15.3,160.5,925.0,55.0
2002,7,19,12,6,15.5,159.7,925.0,55.0
2002,7,19,18,5,15.8,159.1,930.0,50.0
2002,7,20,0,5,16.0,158.6,930.0,50.0
2002,7,20,6,5,16.6,158.2,930.0,50.0
2002,7,20,12,5,17.2,157.6,930.0,50.0
2002,7,20,18,5,17.8,157.0,930.0,50.0
2002,7,21,0,5,19.0,156.2,930.0,50.0
2002,7,21,6,6,19.8,155.3,925.0,55.0
2002,7,21,12,6,20.5,154.3,925.0,55.0
2002,7,21,18,6,21.4,153.4,925.0,55.0
2002,7,22,0,6,22.2,152.3,925.0,55.0
2002,7,22,6,6,23.3,151.2,925.0,55.0
2002,7,22,12,6,24.2,150.0,925.0,55.0
2002,7,22,18,5,25.0,148.8,935.0,50.0
2002,7,23,0,5,25.9,147.5,940.0,45.0
2002,7,23,6,4,26.7,146.2,950.0,40.0
2002,7,23,12,4,27.5,144.7,950.0,40.0
2002,7,23,18,4,28.0,143.0,950.0,40.0
2002,7,24,0,4,28.5,141.1,965.0,35.0
2002,7,24,6,4,28.7,139.1,970.0,35.0
2002,7,24,12,4,28.8,137.7,975.0,33.0
2002,7,24,18,3,29.0,136.1,975.0,30.0
2002,7,25,0,3,29.5,134.2,975.0,30.0
2002,7,25,6,3,30.1,132.4,975.0,30.0
2002,7,25,12,3,30.3,130.9,975.0,28.0
2002,7,25,18,3,31.0,129.7,975.0,28.0
2002,7,26,0,3,31.9,128.1,975.0,28.0
2002,7,26,6,3,32.5,126.9,980.0,25.0
2002,7,26,12,2,33.0,125.7,985.0,23.0
2002,7,26,18,2,33.8,124.4,990.0,20.0
2002,7,27,0,2,34.3,123.4,990.0,20.0
2002,7,27,6,2,34.8,122.2,990.0,20.0
2002,7,27,12,2,35.7,121.1,995.0,18.0
2002,7,27,18,1,36.0,120.0,1000.0,15.0
2002,7,28,0,1,36.6,119.8,1002.0,15.0
2002,7,28,6,1,38.0,119.3,1004.0,12.0
2002,7,28,12,0,39.0,119.0,1006.0,10.0
