year,month,day,hour,power,lat,lng,PRES,WND
2002,9,26,0,1,15.6,157.4,1004.0,12.0
2002,9,26,6,1,15.6,156.0,1004.0,12.0
2002,9,26,12,1,15.7,155.0,1004.0,12.0
2002,9,26,18,1,15.8,153.8,1000.0,15.0
2002,9,27,0,1,16.0,152.3,998.0,15.0
2002,9,27,6,2,16.4,150.9,995.0,20.0
2002,9,27,12,2,16.9,149.1,995.0,20.0
2002,9,27,18,3,17.5,147.5,990.0,25.0
2002,9,28,0,3,18.0,145.9,980.0,30.0
2002,9,28,6,3,18.7,144.2,980.0,30.0
2002,9,28,12,4,19.1,142.1,975.0,33.0
2002,9,28,18,4,19.5,140.4,960.0,40.0
2002,9,29,0,5,19.8,138.8,950.0,45.0
2002,9,29,6,5,20.4,137.5,950.0,45.0
2002,9,29,12,5,20.9,136.7,945.0,50.0
2002,9,29,18,5,21.5,136.0,945.0,50.0
2002,9,30,0,5,22.5,135.8,945.0,50.0
2002,9,30,6,5,23.7,135.8,945.0,50.0
2002,9,30,12,5,25.2,136.1,950.0,45.0
2002,9,30,18,5,27.2,136.6,950.0,45.0
2002,10,1,0,4,29.6,137.4,960.0,40.0
2002,10,1,6,4,32.8,138.3,960.0,40.0
2002,10,1,12,4,35.9,139.8,970.0,33.0
2002,10,1,18,3,40.5,141.3,985.0,28.0
2002,10,2,0,3,43.9,141.1,985.0,25.0
2002,10,2,6,9,46.2,141.1,980.0,25.0
