year,month,day,hour,power,lat,lng,PRES,WND
2002,11,3,12,4,15.5,179.9,975.0,33.0
2002,11,3,18,4,16.0,177.8,970.0,35.0
2002,11,4,0,4,16.6,174.9,970.0,35.0
2002,11,4,6,4,17.3,172.3,970.0,35.0
2002,11,4,12,4,18.4,170.4,970.0,35.0
2002,11,4,18,4,19.5,168.0,975.0,33.0
2002,11,5,0,4,20.4,165.4,975.0,33.0
2002,11,5,6,4,21.7,163.8,975.0,33.0
2002,11,5,12,3,23.3,163.0,980.0,30.0
2002,11,5,18,3,24.3,162.7,980.0,30.0
2002,11,6,0,3,25.3,163.1,985.0,28.0
2002,11,6,6,3,25.9,164.2,985.0,25.0
2002,11,6,12,2,26.8,166.2,990.0,23.0
2002,11,6,18,2,27.3,169.0,990.0,23.0
2002,11,7,0,2,28.0,172.3,995.0,18.0
2002,11,7,6,1,28.4,175.0,1000.0,15.0
