year,month,day,hour,power,lat,lng,PRES,WND
2002,8,1,18,1,19.0,120.0,1000.0,12.0
2002,8,2,0,1,19.5,119.5,1000.0,12.0
2002,8,2,6,1,19.5,119.5,1000.0,12.0
2002,8,2,12,1,19.8,118.5,1000.0,12.0
2002,8,2,18,1,20.2,117.8,998.0,15.0
2002,8,3,0,1,20.8,117.3,996.0,15.0
2002,8,3,6,1,20.9,116.5,992.0,15.0
2002,8,3,12,1,20.8,115.6,992.0,15.0
2002,8,3,18,2,20.7,114.8,990.0,18.0
2002,8,4,0,2,20.5,114.5,990.0,20.0
2002,8,4,6,2,21.0,115.1,985.0,23.0
2002,8,4,12,2,21.5,115.2,985.0,23.0
2002,8,4,18,3,22.0,115.5,980.0,28.0
2002,8,5,0,3,23.0,115.7,985.0,25.0
2002,8,5,6,2,24.1,115.7,985.0,23.0
2002,8,5,12,2,25.1,115.5,990.0,18.0
2002,8,5,18,1,26.1,115.6,994.0,15.0
2002,8,6,0,1,27.4,115.7,995.0,15.0
2002,8,6,6,1,27.6,116.0,995.0,12.0
