year,month,day,hour,power,lat,lng,PRES,WND
2002,2,26,18,1,6.0,155.5,1004.0,12.0
2002,2,27,0,1,6.2,155.3,1004.0,12.0
2002,2,27,6,1,6.5,155.0,1002.0,12.0
2002,2,27,12,1,6.7,154.6,1000.0,15.0
2002,2,27,18,1,6.8,154.0,1000.0,15.0
2002,2,28,0,1,7.0,153.3,1000.0,15.0
2002,2,28,6,1,7.1,152.2,998.0,15.0
2002,2,28,12,2,7.1,151.2,995.0,18.0
2002,2,28,18,2,7.1,150.2,995.0,20.0
2002,3,1,0,2,6.7,148.9,990.0,23.0
2002,3,1,6,3,6.6,147.9,985.0,28.0
2002,3,1,12,3,6.6,146.9,985.0,28.0
2002,3,1,18,3,6.7,145.5,980.0,30.0
2002,3,2,0,3,7.0,144.3,980.0,30.0
2002,3,2,6,4,7.5,142.9,975.0,33.0
2002,3,2,12,4,8.0,141.0,970.0,35.0
2002,3,2,18,4,8.5,139.5,965.0,35.0
2002,3,3,0,4,8.9,138.1,965.0,35.0
2002,3,3,6,4,9.5,136.8,960.0,40.0
2002,3,3,12,4,10.2,135.3,960.0,40.0
2002,3,3,18,4,10.6,134.2,960.0,40.0
2002,3,4,0,5,10.8,133.2,955.0,45.0
2002,3,4,6,5,11.1,132.5,955.0,45.0
2002,3,4,12,5,11.9,132.0,955.0,45.0
2002,3,4,18,5,12.5,131.2,955.0,45.0
2002,3,5,0,5,13.1,130.5,955.0,45.0
2002,3,5,6,5,13.8,130.1,945.0,50.0
2002,3,5,12,5,14.3,129.9,945.0,50.0
2002,3,5,18,5,14.9,129.9,945.0,50.0
2002,3,6,0,5,15.6,130.1,945.0,50.0
2002,3,6,6,5,16.1,130.4,945.0,50.0
2002,3,6,12,5,16.7,131.0,955.0,45.0
2002,3,6,18,4,17.1,131.5,965.0,40.0
2002,3,7,0,4,17.6,132.4,970.0,35.0
2002,3,7,6,3,18.1,133.5,980.0,30.0
2002,3,7,12,3,18.3,134.6,985.0,25.0
2002,3,7,18,2,18.3,135.2,990.0,20.0
2002,3,8,0,2,17.7,135.4,995.0,18.0
2002,3,8,6,1,17.1,135.3,1000.0,15.0
2002,3,8,12,1,16.7,134.8,1004.0,12.0
