year,month,day,hour,power,lat,lng,PRES,WND
2002,8,22,12,1,15.4,163.4,1004.0,12.0
2002,8,22,18,1,15.8,162.3,1000.0,15.0
2002,8,23,0,2,16.3,161.3,998.0,18.0
2002,8,23,6,2,16.7,160.2,995.0,20.0
2002,8,23,12,2,17.4,160.0,990.0,23.0
2002,8,23,18,3,18.5,158.5,985.0,25.0
2002,8,24,0,3,18.8,157.0,985.0,25.0
2002,8,24,6,3,19.2,156.1,985.0,25.0
2002,8,24,12,3,19.5,155.2,985.0,28.0
2002,8,24,18,3,20.0,153.9,980.0,30.0
2002,8,25,0,3,20.6,152.6,980.0,30.0
2002,8,25,6,3,21.0,151.0,980.0,30.0
2002,8,25,12,4,21.4,149.5,975.0,33.0
2002,8,25,18,4,21.9,148.0,970.0,35.0
2002,8,26,0,4,22.1,146.7,960.0,40.0
2002,8,26,6,4,22.5,145.6,960.0,40.0
2002,8,26,12,5,22.7,144.5,950.0,45.0
2002,8,26,18,5,23.2,143.3,950.0,45.0
2002,8,27,0,5,23.5,142.0,950.0,45.0
2002,8,27,6,4,23.8,140.5,960.0,40.0
2002,8,27,12,4,24.2,139.3,960.0,40.0
2002,8,27,18,4,24.7,137.9,960.0,40.0
2002,8,28,0,4,25.2,136.5,960.0,40.0
2002,8,28,6,4,25.7,135.2,960.0,40.0
2002,8,28,12,4,26.4,133.9,960.0,40.0
2002,8,28,18,4,27.0,132.7,960.0,40.0
2002,8,29,0,4,27.6,131.3,960.0,40.0
2002,8,29,6,4,27.9,130.4,960.0,40.0
2002,8,29,12,4,28.4,129.5,960.0,40.0
2002,8,29,18,4,28.9,129.0,960.0,40.0
2002,8,30,0,4,29.4,128.3,960.0,40.0
2002,8,30,6,4,30.3,127.8,960.0,40.0
2002,8,30,12,4,30.9,127.6,960.0,40.0
2002,8,30,18,4,31.6,127.6,965.0,35.0
2002,8,31,0,4,32.7,127.6,965.0,35.0
2002,8,31,6,4,34.1,127.5,965.0,35.0
2002,8,31,12,3,35.3,127.5,980.0,28.0
2002,8,31,18,3,36.5,127.9,990.0,25.0
2002,9,1,0,2,37.7,128.7,992.0,18.0
2002,9,1,6,1,39.0,129.8,996.0,15.0
2002,9,1,12,1,40.6,130.8,1000.0,12.0
