year,month,day,hour,power,lat,lng,PRES,WND
2003,9,16,0,1,13.1,133.0,1002.0,15.0
2003,9,16,6,1,13.9,130.2,1002.0,15.0
2003,9,16,12,1,14.8,128.4,1002.0,15.0
2003,9,16,18,1,15.2,128.1,1000.0,15.0
2003,9,17,0,1,15.8,128.1,1000.0,15.0
2003,9,17,6,1,17.5,128.9,1000.0,15.0
2003,9,17,12,1,18.8,129.5,1000.0,15.0
2003,9,17,18,2,20.2,129.4,998.0,18.0
2003,9,18,0,2,21.4,128.5,995.0,18.0
2003,9,18,6,2,22.0,128.2,995.0,20.0
2003,9,18,12,2,22.8,127.7,990.0,23.0
2003,9,18,18,2,23.6,127.3,990.0,23.0
2003,9,19,0,2,24.9,127.4,990.0,23.0
2003,9,19,6,3,26.0,127.9,988.0,25.0
2003,9,19,12,3,27.0,128.2,980.0,30.0
2003,9,19,18,3,27.7,128.7,975.0,30.0
2003,9,20,0,3,28.4,129.4,975.0,30.0
2003,9,20,6,4,28.9,130.5,975.0,33.0
2003,9,20,12,4,29.0,131.9,975.0,33.0
2003,9,20,18,4,29.5,133.7,970.0,35.0
2003,9,21,0,4,30.1,135.7,965.0,40.0
2003,9,21,6,4,31.0,137.0,965.0,40.0
2003,9,21,12,4,32.2,139.0,965.0,40.0
2003,9,21,18,4,33.2,140.7,965.0,35.0
2003,9,22,0,4,34.4,142.8,970.0,35.0
2003,9,22,6,4,35.9,145.0,970.0,33.0
2003,9,22,12,3,37.7,147.6,980.0,30.0
2003,9,22,18,3,39.5,151.2,985.0,25.0
2003,9,23,0,2,41.0,156.0,988.0,20.0
2003,9,23,6,1,43.4,164.3,1000.0,15.0
