year,month,day,hour,power,lat,lng,PRES,WND
2003,8,28,0,1,17.8,138.1,1008.0,12.0
2003,8,28,6,1,17.1,137.4,1008.0,12.0
2003,8,28,12,1,16.2,136.8,1008.0,12.0
2003,8,28,18,1,16.0,136.4,1006.0,15.0
2003,8,29,0,1,16.0,136.0,1006.0,15.0
2003,8,29,6,1,16.0,135.4,1002.0,15.0
2003,8,29,12,1,16.0,135.0,1000.0,15.0
2003,8,29,18,2,16.0,134.7,996.0,18.0
2003,8,30,0,2,16.1,134.5,990.0,23.0
2003,8,30,6,3,16.5,134.1,985.0,25.0
2003,8,30,12,3,17.5,133.2,980.0,30.0
2003,8,30,18,4,18.2,132.2,975.0,33.0
2003,8,31,0,4,19.1,131.1,975.0,33.0
2003,8,31,6,4,19.8,129.6,970.0,35.0
2003,8,31,12,4,20.2,128.3,970.0,35.0
2003,8,31,18,4,20.4,126.9,970.0,35.0
2003,9,1,0,4,20.7,125.2,960.0,40.0
2003,9,1,6,4,20.8,123.7,960.0,40.0
2003,9,1,12,5,21.2,121.9,950.0,45.0
2003,9,1,18,5,21.6,120.2,950.0,45.0
2003,9,2,0,5,21.9,118.0,950.0,45.0
2003,9,2,6,4,22.3,116.5,960.0,40.0
2003,9,2,12,4,22.6,114.8,965.0,35.0
2003,9,2,18,3,22.4,112.8,988.0,25.0
2003,9,3,0,1,22.7,111.3,995.0,15.0
2003,9,3,6,1,22.7,110.2,998.0,12.0
