year,month,day,hour,power,lat,lng,PRES,WND
2003,4,10,0,1,6.7,160.1,1004.0,15.0
2003,4,10,6,1,7.5,159.7,1004.0,15.0
2003,4,10,12,1,8.0,158.9,1004.0,15.0
2003,4,10,18,1,8.5,158.1,1002.0,15.0
2003,4,11,0,2,9.0,157.4,1000.0,18.0
2003,4,11,6,2,9.5,156.4,998.0,18.0
2003,4,11,12,2,9.8,155.6,996.0,18.0
2003,4,11,18,2,9.9,155.0,996.0,18.0
2003,4,12,0,2,9.9,154.1,992.0,20.0
2003,4,12,6,2,10.0,153.2,990.0,23.0
2003,4,12,12,2,10.1,152.3,990.0,23.0
2003,4,12,18,3,10.1,151.5,985.0,25.0
2003,4,13,0,3,10.2,150.7,985.0,28.0
2003,4,13,6,3,10.2,149.9,980.0,30.0
2003,4,13,12,3,10.2,149.1,980.0,30.0
2003,4,13,18,4,10.4,148.3,975.0,33.0
2003,4,14,0,4,10.4,147.3,970.0,35.0
2003,4,14,6,4,10.6,146.2,965.0,40.0
2003,4,14,12,4,10.8,145.2,960.0,40.0
2003,4,14,18,4,11.1,143.8,960.0,40.0
2003,4,15,0,5,11.5,142.3,950.0,45.0
2003,4,15,6,5,11.9,140.9,950.0,45.0
2003,4,15,12,5,12.3,139.5,950.0,45.0
2003,4,15,18,5,12.7,138.3,940.0,50.0
2003,4,16,0,6,13.1,137.0,935.0,55.0
2003,4,16,6,6,13.5,136.1,935.0,55.0
2003,4,16,12,5,13.8,135.2,940.0,50.0
2003,4,16,18,5,13.9,134.4,940.0,50.0
2003,4,17,0,5,14.0,133.7,950.0,45.0
2003,4,17,6,5,13.9,132.9,950.0,45.0
2003,4,17,12,5,13.7,132.1,950.0,45.0
2003,4,17,18,5,13.6,131.3,950.0,45.0
2003,4,18,0,5,13.5,130.6,950.0,45.0
2003,4,18,6,5,13.5,130.0,950.0,45.0
2003,4,18,12,5,13.6,129.5,950.0,45.0
2003,4,18,18,5,13.9,129.1,950.0,45.0
2003,4,19,0,5,14.1,128.8,950.0,45.0
2003,4,19,6,5,14.7,128.3,950.0,45.0
2003,4,19,12,4,15.1,127.9,960.0,40.0
2003,4,19,18,4,15.7,127.3,960.0,40.0
2003,4,20,0,4,16.2,126.8,960.0,40.0
2003,4,20,6,4,16.7,126.1,960.0,40.0
2003,4,20,12,5,17.1,125.6,950.0,45.0
2003,4,20,18,5,17.9,125.1,950.0,45.0
2003,4,21,0,5,18.3,124.6,950.0,45.0
2003,4,21,6,4,18.8,124.3,960.0,40.0
2003,4,21,12,4,19.2,124.2,970.0,35.0
2003,4,21,18,4,19.6,124.1,970.0,35.0
2003,4,22,0,3,20.1,124.0,980.0,28.0
2003,4,22,6,3,20.4,123.4,985.0,28.0
2003,4,22,12,3,20.6,123.1,985.0,25.0
2003,4,22,18,2,20.7,122.9,990.0,23.0
2003,4,23,0,2,20.7,122.5,995.0,23.0
2003,4,23,6,2,20.8,122.4,995.0,20.0
2003,4,23,12,2,21.0,122.4,995.0,20.0
2003,4,23,18,2,21.3,122.3,998.0,18.0
2003,4,24,0,2,22.0,122.5,998.0,18.0
2003,4,24,6,2,23.1,123.0,998.0,18.0
2003,4,24,12,2,24.8,123.9,998.0,18.0
2003,4,24,18,2,26.7,125.3,998.0,18.0
2003,4,25,0,1,29.0,127.2,998.0,15.0
2003,4,25,6,1,32.1,129.7,1000.0,15.0
