year,month,day,hour,power,lat,lng,PRES,WND
2003,1,15,6,1,6.9,163.1,1004.0,12.0
2003,1,15,12,1,7.6,161.2,1004.0,12.0
2003,1,15,18,1,8.2,159.7,1004.0,15.0
2003,1,16,0,1,8.7,158.2,1004.0,15.0
2003,1,16,6,1,9.4,156.7,1004.0,15.0
2003,1,16,12,1,10.2,154.3,1004.0,15.0
2003,1,16,18,1,11.0,152.8,1004.0,15.0
2003,1,17,0,1,11.7,150.9,1004.0,15.0
2003,1,17,6,1,12.4,149.5,1002.0,15.0
2003,1,17,12,1,12.9,148.6,1002.0,15.0
2003,1,17,18,1,13.2,147.8,1002.0,15.0
2003,1,18,0,1,13.6,146.8,1000.0,15.0
2003,1,18,6,2,14.1,146.6,998.0,18.0
2003,1,18,12,2,14.5,146.8,998.0,18.0
2003,1,18,18,2,14.7,147.3,995.0,18.0
2003,1,19,0,2,14.9,147.9,995.0,18.0
2003,1,19,6,2,15.2,148.8,995.0,18.0
2003,1,19,12,2,15.6,150.0,995.0,18.0
2003,1,19,18,2,16.2,151.3,995.0,18.0
2003,1,20,0,2,16.8,152.4,995.0,18.0
2003,1,20,6,2,17.2,153.7,995.0,18.0
2003,1,20,12,1,17.5,154.9,1000.0,15.0
2003,1,20,18,1,17.9,156.1,1004.0,12.0
2003,1,21,0,0,19.0,157.0,1006.0,10.0
