year,month,day,hour,power,lat,lng,PRES,WND
2004,8,18,6,1,11.2,165.0,1004.0,12.0
2004,8,18,12,1,11.4,163.8,1004.0,12.0
2004,8,18,18,1,11.8,163.0,1002.0,12.0
2004,8,19,0,1,12.3,162.0,1002.0,12.0
2004,8,19,6,1,12.8,161.3,1000.0,15.0
2004,8,19,12,2,13.2,160.4,996.0,18.0
2004,8,19,18,2,13.6,159.1,990.0,23.0
2004,8,20,0,2,13.9,157.8,990.0,23.0
2004,8,20,6,2,14.1,156.9,990.0,23.0
2004,8,20,12,3,14.4,155.4,990.0,25.0
2004,8,20,18,3,14.5,154.2,990.0,25.0
2004,8,21,0,3,14.5,153.0,990.0,25.0
2004,8,21,6,3,14.4,151.8,985.0,28.0
2004,8,21,12,4,14.2,150.2,975.0,33.0
2004,8,21,18,4,14.2,148.6,970.0,35.0
2004,8,22,0,4,14.1,147.4,960.0,40.0
2004,8,22,6,4,14.3,146.3,960.0,40.0
2004,8,22,12,5,14.4,145.6,945.0,50.0
2004,8,22,18,6,14.8,144.8,930.0,55.0
2004,8,23,0,6,15.2,143.6,920.0,60.0
2004,8,23,6,6,15.6,142.9,920.0,60.0
2004,8,23,12,6,16.3,142.1,920.0,60.0
2004,8,23,18,6,17.0,141.1,920.0,60.0
2004,8,24,0,6,17.4,140.2,920.0,60.0
2004,8,24,6,6,18.0,139.6,920.0,60.0
2004,8,24,12,6,18.5,139.1,920.0,60.0
2004,8,24,18,6,19.4,138.7,920.0,60.0
2004,8,25,0,6,20.4,138.2,920.0,60.0
2004,8,25,6,6,21.2,137.6,920.0,60.0
2004,8,25,12,6,21.9,137.2,920.0,60.0
2004,8,25,18,6,22.5,136.8,920.0,60.0
2004,8,26,0,6,23.5,136.3,920.0,60.0
2004,8,26,6,6,24.2,135.7,930.0,55.0
2004,8,26,12,5,24.7,135.4,940.0,50.0
2004,8,26,18,5,25.5,135.1,940.0,50.0
2004,8,27,0,5,26.1,134.9,940.0,50.0
2004,8,27,6,5,26.6,134.5,940.0,50.0
2004,8,27,12,5,26.8,134.3,940.0,50.0
2004,8,27,18,5,27.0,134.2,950.0,45.0
2004,8,28,0,5,27.2,133.9,950.0,45.0
2004,8,28,6,5,27.3,133.6,950.0,45.0
2004,8,28,12,5,27.6,132.9,950.0,45.0
2004,8,28,18,5,27.8,132.1,950.0,45.0
2004,8,29,0,5,28.2,131.3,950.0,45.0
2004,8,29,6,5,28.8,130.4,950.0,45.0
2004,8,29,12,4,29.4,130.0,960.0,40.0
2004,8,29,18,4,30.2,129.8,960.0,40.0
2004,8,30,0,4,31.5,130.2,960.0,40.0
2004,8,30,6,4,33.5,131.1,970.0,35.0
2004,8,30,12,4,35.1,133.1,975.0,33.0
2004,8,30,18,3,37.1,136.0,975.0,30.0
2004,8,31,0,3,40.2,139.3,975.0,30.0
2004,8,31,6,9,43.7,143.1,975.0,28.0
2004,8,31,12,9,46.0,145.0,975.0,23.0
