year,month,day,hour,power,lat,lng,PRES,WND
2004,6,7,18,0,8.6,132.2,1008.0,10.0
2004,6,8,0,0,9.0,130.5,1008.0,10.0
2004,6,8,6,1,9.3,128.6,1006.0,12.0
2004,6,8,12,1,9.5,127.5,1006.0,12.0
2004,6,8,18,1,10.1,126.4,1006.0,12.0
2004,6,9,0,1,10.7,125.0,1004.0,12.0
2004,6,9,6,1,10.9,123.8,1004.0,12.0
2004,6,9,12,1,11.0,122.4,1004.0,12.0
2004,6,9,18,1,11.1,121.0,1002.0,12.0
2004,6,10,0,1,11.4,120.0,1002.0,12.0
2004,6,10,6,1,11.7,119.2,1000.0,15.0
2004,6,10,12,1,12.0,118.5,1000.0,15.0
2004,6,10,18,2,12.3,117.5,995.0,18.0
2004,6,11,0,2,12.6,116.3,995.0,18.0
2004,6,11,6,2,13.0,115.3,995.0,20.0
2004,6,11,12,2,13.2,114.2,995.0,20.0
2004,6,11,18,2,13.6,113.1,990.0,23.0
2004,6,12,0,3,13.9,111.5,982.0,28.0
2004,6,12,6,3,14.0,110.2,980.0,30.0
2004,6,12,12,3,13.9,108.7,982.0,28.0
2004,6,12,18,2,14.0,107.4,990.0,23.0
2004,6,13,0,2,14.2,106.0,995.0,20.0
2004,6,13,6,1,14.7,105.0,1000.0,15.0
2004,6,13,12,0,15.3,104.5,1002.0,10.0
