year,month,day,hour,power,lat,lng,PRES,WND
2004,9,10,18,1,23.0,119.6,1002.0,12.0
2004,9,11,0,1,22.7,120.3,1000.0,15.0
2004,9,11,6,1,22.6,121.4,1000.0,15.0
2004,9,11,12,1,23.3,121.9,998.0,15.0
2004,9,11,18,2,24.4,122.1,996.0,18.0
2004,9,12,0,2,24.9,122.2,996.0,18.0
2004,9,12,6,2,25.4,122.2,996.0,18.0
2004,9,12,12,2,26.1,122.1,996.0,18.0
2004,9,12,18,2,26.7,121.9,996.0,18.0
2004,9,13,0,2,27.5,121.5,996.0,18.0
2004,9,13,6,2,28.0,120.6,998.0,18.0
2004,9,13,12,1,28.7,120.0,1008.0,12.0
2004,9,13,18,1,30.0,119.6,1008.0,12.0
2004,9,14,0,9,32.0,119.2,1004.0,15.0
2004,9,14,6,9,33.2,119.1,1004.0,15.0
2004,9,14,12,9,35.7,119.1,1004.0,15.0
2004,9,14,18,9,38.7,118.2,1000.0,15.0
2004,9,15,0,9,40.4,117.9,1000.0,15.0
2004,9,15,6,9,42.1,117.4,1002.0,15.0
2004,9,15,12,9,44.8,116.8,1002.0,15.0
2004,9,15,18,9,46.9,116.5,1001.0,15.0
2004,9,16,0,9,49.4,116.6,997.0,15.0
2004,9,16,6,9,50.9,116.6,993.0,15.0
