year,month,day,hour,power,lat,lng,PRES,WND
2004,8,3,0,1,16.5,166.1,1004.0,12.0
2004,8,3,6,1,17.7,166.3,1004.0,12.0
2004,8,3,12,1,18.6,166.2,1004.0,12.0
2004,8,3,18,1,19.6,166.0,1002.0,15.0
2004,8,4,0,1,20.9,165.6,1002.0,15.0
2004,8,4,6,1,22.6,165.3,1000.0,15.0
2004,8,4,12,2,23.7,165.3,998.0,18.0
2004,8,4,18,2,24.4,165.5,998.0,18.0
2004,8,5,0,2,25.3,165.8,990.0,23.0
2004,8,5,6,3,26.2,166.1,985.0,28.0
2004,8,5,12,3,27.2,166.8,980.0,30.0
2004,8,5,18,4,28.0,167.4,970.0,35.0
2004,8,6,0,4,28.7,167.9,960.0,40.0
2004,8,6,6,4,29.4,168.7,970.0,35.0
2004,8,6,12,4,30.3,169.8,970.0,35.0
2004,8,6,18,3,31.2,170.4,980.0,30.0
2004,8,7,0,3,31.8,170.6,980.0,30.0
2004,8,7,6,3,32.5,171.4,985.0,28.0
2004,8,7,12,3,33.8,171.7,985.0,28.0
2004,8,7,18,3,34.8,171.6,990.0,25.0
2004,8,8,0,2,35.7,171.8,990.0,23.0
2004,8,8,6,2,37.1,172.0,990.0,23.0
2004,8,8,12,2,37.6,172.0,990.0,23.0
2004,8,8,18,2,38.0,172.0,995.0,20.0
2004,8,9,0,2,39.3,172.2,995.0,18.0
2004,8,9,6,9,39.6,172.4,1000.0,15.0
2004,8,9,12,9,39.8,172.7,1002.0,15.0
2004,8,9,18,9,40.1,172.5,1002.0,15.0
2004,8,10,0,9,40.3,172.0,1004.0,15.0
2004,8,10,6,9,40.5,171.4,1004.0,15.0
2004,8,10,12,9,40.5,170.7,1004.0,15.0
2004,8,10,18,9,40.3,169.9,1004.0,15.0
2004,8,11,0,9,40.1,169.7,1000.0,15.0
2004,8,11,6,9,40.1,170.0,1000.0,15.0
2004,8,11,12,9,40.2,171.1,1000.0,15.0
2004,8,11,18,9,40.5,172.2,1000.0,15.0
2004,8,12,0,9,41.0,174.0,1000.0,15.0
2004,8,12,6,9,42.2,175.6,1000.0,15.0
