year,month,day,hour,power,lat,lng,PRES,WND
2004,11,28,0,0,5.7,153.7,1006.0,10.0
2004,11,28,6,1,5.6,152.3,1002.0,12.0
2004,11,28,12,1,6.0,150.4,1000.0,15.0
2004,11,28,18,1,6.1,149.0,1000.0,15.0
2004,11,29,0,2,6.4,147.7,992.0,18.0
2004,11,29,6,2,6.6,146.1,992.0,18.0
2004,11,29,12,2,7.1,144.2,990.0,23.0
2004,11,29,18,2,7.6,143.1,990.0,23.0
2004,11,30,0,2,8.6,141.0,990.0,23.0
2004,11,30,6,3,9.4,139.0,980.0,28.0
2004,11,30,12,4,10.0,137.1,970.0,35.0
2004,11,30,18,4,10.7,135.2,965.0,40.0
2004,12,1,0,4,11.6,132.8,960.0,40.0
2004,12,1,6,5,12.4,130.5,950.0,45.0
2004,12,1,12,5,13.1,128.7,950.0,45.0
2004,12,1,18,5,13.7,126.8,950.0,45.0
2004,12,2,0,5,14.3,125.0,950.0,45.0
2004,12,2,6,5,14.9,123.4,950.0,45.0
2004,12,2,12,4,15.9,122.1,960.0,40.0
2004,12,2,18,4,17.3,120.1,970.0,35.0
2004,12,3,0,4,18.1,119.1,975.0,33.0
2004,12,3,6,3,19.2,118.7,980.0,30.0
2004,12,3,12,3,20.2,118.3,980.0,28.0
2004,12,3,18,3,21.6,119.1,985.0,25.0
2004,12,4,0,3,22.5,120.6,990.0,25.0
2004,12,4,6,1,23.2,122.6,1000.0,15.0
