year,month,day,hour,power,lat,lng,PRES,WND
2004,9,3,18,1,14.0,155.6,1008.0,15.0
2004,9,4,0,1,15.0,153.9,1008.0,15.0
2004,9,4,6,1,15.8,152.8,1004.0,15.0
2004,9,4,12,1,16.4,151.6,1004.0,15.0
2004,9,4,18,2,16.8,150.2,995.0,18.0
2004,9,5,0,2,17.4,148.7,990.0,23.0
2004,9,5,6,3,18.1,147.3,990.0,25.0
2004,9,5,12,3,18.5,145.8,985.0,28.0
2004,9,5,18,3,18.9,144.2,985.0,28.0
2004,9,6,0,3,19.3,142.8,990.0,25.0
2004,9,6,6,3,19.6,141.2,990.0,25.0
2004,9,6,12,3,20.0,140.0,990.0,25.0
2004,9,6,18,3,20.4,139.0,990.0,25.0
2004,9,7,0,2,21.8,138.7,990.0,23.0
2004,9,7,6,2,22.8,138.1,995.0,20.0
2004,9,7,12,1,23.7,138.0,1000.0,15.0
2004,9,7,18,1,24.7,137.8,1000.0,15.0
2004,9,8,0,1,25.9,137.5,1002.0,12.0
2004,9,8,6,1,27.1,137.3,1005.0,12.0
2004,9,8,12,1,28.2,137.1,1008.0,12.0
