year,month,day,hour,power,lat,lng,PRES,WND
2004,8,26,6,1,10.5,171.0,1006.0,12.0
2004,8,26,12,1,10.5,170.0,1004.0,12.0
2004,8,26,18,1,10.6,169.3,1004.0,12.0
2004,8,27,0,1,10.7,168.7,1000.0,15.0
2004,8,27,6,1,10.8,167.8,1000.0,15.0
2004,8,27,12,1,10.9,167.0,1000.0,15.0
2004,8,27,18,1,11.1,166.0,1000.0,15.0
2004,8,28,0,2,11.4,165.0,998.0,18.0
2004,8,28,6,2,11.9,164.2,995.0,20.0
2004,8,28,12,3,12.4,163.0,990.0,25.0
2004,8,28,18,3,12.8,161.6,990.0,25.0
2004,8,29,0,3,13.2,160.3,990.0,25.0
2004,8,29,6,3,13.7,158.8,985.0,28.0
2004,8,29,12,3,14.2,157.2,985.0,28.0
2004,8,29,18,3,14.6,155.8,985.0,28.0
2004,8,30,0,3,14.9,154.4,980.0,30.0
2004,8,30,6,3,15.4,152.8,980.0,30.0
2004,8,30,12,4,15.6,151.5,970.0,33.0
2004,8,30,18,4,16.0,150.5,960.0,40.0
2004,8,31,0,5,16.3,149.5,950.0,45.0
2004,8,31,6,5,16.7,148.5,940.0,50.0
2004,8,31,12,5,17.3,147.6,940.0,50.0
2004,8,31,18,5,17.8,146.7,940.0,50.0
2004,9,1,0,5,18.4,146.3,940.0,50.0
2004,9,1,6,5,19.5,145.3,940.0,50.0
2004,9,1,12,5,20.2,143.7,940.0,50.0
2004,9,1,18,5,20.7,142.3,940.0,50.0
2004,9,2,0,5,21.1,141.1,940.0,50.0
2004,9,2,6,5,21.7,139.8,940.0,50.0
2004,9,2,12,5,21.8,138.5,950.0,45.0
2004,9,2,18,5,21.8,137.4,950.0,45.0
2004,9,3,0,5,22.0,136.3,950.0,45.0
2004,9,3,6,5,22.3,135.2,950.0,45.0
2004,9,3,12,5,22.4,134.0,950.0,45.0
2004,9,3,18,5,22.7,133.2,950.0,45.0
2004,9,4,0,5,23.2,132.1,945.0,50.0
2004,9,4,6,5,24.0,131.2,945.0,50.0
2004,9,4,12,5,24.4,130.4,940.0,50.0
2004,9,4,18,5,25.0,129.7,940.0,50.0
2004,9,5,0,5,25.7,128.9,950.0,45.0
2004,9,5,6,5,26.3,128.2,950.0,45.0
2004,9,5,12,5,26.9,127.9,950.0,45.0
2004,9,5,18,4,27.7,127.3,960.0,40.0
2004,9,6,0,4,28.4,127.1,960.0,40.0
2004,9,6,6,4,29.3,126.9,960.0,40.0
2004,9,6,12,4,30.0,127.2,960.0,40.0
2004,9,6,18,4,31.1,128.0,960.0,40.0
2004,9,7,0,4,32.7,129.4,960.0,40.0
2004,9,7,6,4,35.2,132.0,970.0,35.0
2004,9,7,12,4,38.7,135.9,970.0,33.0
2004,9,7,18,3,41.7,139.0,970.0,28.0
2004,9,8,0,9,43.8,140.1,970.0,23.0
2004,9,8,6,9,46.0,142.5,970.0,20.0
2004,9,8,12,9,48.7,146.1,970.0,20.0
