year,month,day,hour,power,lat,lng,PRES,WND
2004,4,2,18,0,6.4,152.8,1004.0,10.0
2004,4,3,0,0,6.3,152.3,1004.0,10.0
2004,4,3,6,1,6.4,151.9,1004.0,12.0
2004,4,3,12,1,6.6,151.4,1004.0,12.0
2004,4,3,18,1,6.5,151.0,1002.0,12.0
2004,4,4,0,1,6.5,150.6,1002.0,15.0
2004,4,4,6,1,6.7,150.1,1000.0,15.0
2004,4,4,12,1,7.1,149.6,1000.0,15.0
2004,4,4,18,1,7.8,149.3,1000.0,15.0
2004,4,5,0,2,8.4,149.1,998.0,18.0
2004,4,5,6,2,8.8,148.8,995.0,20.0
2004,4,5,12,2,9.3,148.6,995.0,20.0
2004,4,5,18,2,9.5,147.7,990.0,23.0
2004,4,6,0,3,9.3,147.0,990.0,25.0
2004,4,6,6,3,9.2,146.2,990.0,25.0
2004,4,6,12,3,9.5,145.4,985.0,28.0
2004,4,6,18,3,9.9,144.9,980.0,30.0
2004,4,7,0,3,10.0,144.1,980.0,30.0
2004,4,7,6,3,9.9,143.0,980.0,30.0
2004,4,7,12,3,9.7,142.2,980.0,30.0
2004,4,7,18,4,9.3,141.5,975.0,33.0
2004,4,8,0,4,9.1,140.6,970.0,35.0
2004,4,8,6,4,8.8,139.8,960.0,40.0
2004,4,8,12,4,8.8,139.1,960.0,40.0
2004,4,8,18,4,8.9,138.5,960.0,40.0
2004,4,9,0,5,9.1,138.0,950.0,45.0
2004,4,9,6,5,9.5,137.2,950.0,45.0
2004,4,9,12,5,9.9,136.6,945.0,50.0
2004,4,9,18,5,10.3,135.8,940.0,50.0
2004,4,10,0,5,10.8,135.2,940.0,50.0
2004,4,10,6,5,11.3,134.4,940.0,50.0
2004,4,10,12,5,11.9,133.5,940.0,50.0
2004,4,10,18,5,12.4,132.8,945.0,50.0
2004,4,11,0,5,13.1,132.1,950.0,45.0
2004,4,11,6,5,13.6,131.7,950.0,45.0
2004,4,11,12,5,14.2,131.4,950.0,45.0
2004,4,11,18,5,14.8,131.2,950.0,45.0
2004,4,12,0,5,15.4,131.0,950.0,45.0
2004,4,12,6,5,15.7,131.0,950.0,45.0
2004,4,12,12,5,16.1,131.1,950.0,45.0
2004,4,12,18,5,16.6,131.3,950.0,45.0
2004,4,13,0,5,17.2,131.6,950.0,45.0
2004,4,13,6,5,17.8,132.0,950.0,45.0
2004,4,13,12,5,18.6,132.5,950.0,45.0
2004,4,13,18,5,19.5,133.1,950.0,45.0
2004,4,14,0,5,20.4,133.9,950.0,45.0
2004,4,14,6,4,21.4,135.0,960.0,40.0
2004,4,14,12,4,22.4,136.4,965.0,40.0
2004,4,14,18,4,23.1,138.0,970.0,35.0
2004,4,15,0,4,23.7,139.1,975.0,33.0
2004,4,15,6,3,24.4,141.0,980.0,30.0
2004,4,15,12,3,25.3,143.1,980.0,30.0
2004,4,15,18,3,26.5,146.2,985.0,28.0
2004,4,16,0,3,27.5,148.1,990.0,25.0
2004,4,16,6,2,28.5,150.7,990.0,23.0
2004,4,16,12,9,29.0,153.0,992.0,23.0
2004,4,16,18,9,30.4,157.8,992.0,23.0
2004,4,17,0,9,32.7,162.0,994.0,20.0
2004,4,17,6,9,35.1,168.0,994.0,20.0
2004,4,17,12,9,37.5,173.7,996.0,20.0
2004,4,17,18,9,39.3,180.0,1000.0,20.0
