year,month,day,hour,power,lat,lng,PRES,WND
2004,10,12,0,1,12.0,151.0,1004.0,15.0
2004,10,12,6,1,13.1,149.6,1002.0,15.0
2004,10,12,12,1,13.7,147.5,1000.0,15.0
2004,10,12,18,2,14.0,145.5,998.0,18.0
2004,10,13,0,2,14.2,143.9,995.0,20.0
2004,10,13,6,2,14.4,142.0,990.0,23.0
2004,10,13,12,3,14.4,140.3,985.0,25.0
2004,10,13,18,3,14.2,139.0,980.0,28.0
2004,10,14,0,3,13.8,138.3,980.0,28.0
2004,10,14,6,3,13.7,137.6,980.0,30.0
2004,10,14,12,4,13.7,136.6,975.0,33.0
2004,10,14,18,4,14.0,136.1,970.0,35.0
2004,10,15,0,4,14.5,135.7,970.0,35.0
2004,10,15,6,4,15.2,134.7,970.0,35.0
2004,10,15,12,4,15.5,134.4,960.0,40.0
2004,10,15,18,4,15.9,134.0,960.0,40.0
2004,10,16,0,4,16.5,133.9,960.0,40.0
2004,10,16,6,5,17.6,133.9,950.0,45.0
2004,10,16,12,5,18.3,132.9,950.0,45.0
2004,10,16,18,5,18.6,132.5,950.0,45.0
2004,10,17,0,5,19.2,132.0,940.0,50.0
2004,10,17,6,5,19.8,130.8,940.0,50.0
2004,10,17,12,5,20.1,130.1,940.0,50.0
2004,10,17,18,5,20.9,129.0,940.0,50.0
2004,10,18,0,5,21.8,128.2,950.0,45.0
2004,10,18,6,5,22.2,127.5,950.0,45.0
2004,10,18,12,5,23.0,126.9,950.0,45.0
2004,10,18,18,5,23.8,127.0,950.0,45.0
2004,10,19,0,4,24.7,127.2,960.0,40.0
2004,10,19,6,4,25.9,127.9,960.0,40.0
2004,10,19,12,4,27.3,128.8,960.0,40.0
2004,10,19,18,4,29.0,130.4,960.0,40.0
2004,10,20,0,4,31.1,132.1,960.0,40.0
2004,10,20,6,4,33.3,133.6,970.0,35.0
2004,10,20,12,3,35.4,136.6,980.0,30.0
2004,10,20,18,9,35.9,139.8,985.0,25.0
2004,10,21,0,9,37.6,143.3,992.0,20.0
2004,10,21,6,9,39.8,148.0,992.0,15.0
2004,10,21,12,9,42.1,153.2,992.0,15.0
2004,10,21,18,9,44.1,157.3,992.0,15.0
