year,month,day,hour,power,lat,lng,PRES,WND
2005,9,5,0,1,8.2,142.3,1006.0,12.0
2005,9,5,6,1,8.7,141.0,1004.0,12.0
2005,9,5,12,1,9.3,139.9,1004.0,12.0
2005,9,5,18,1,10.0,138.7,1004.0,15.0
2005,9,6,0,1,10.5,137.8,1004.0,15.0
2005,9,6,6,1,11.1,137.0,1004.0,15.0
2005,9,6,12,1,12.1,136.0,1004.0,15.0
2005,9,6,18,2,13.0,135.2,1000.0,18.0
2005,9,7,0,2,13.4,134.4,1000.0,18.0
2005,9,7,6,2,13.9,134.0,998.0,20.0
2005,9,7,12,3,14.1,133.6,990.0,25.0
2005,9,7,18,3,14.8,133.0,990.0,25.0
2005,9,8,0,3,15.3,132.5,985.0,28.0
2005,9,8,6,3,16.3,132.2,980.0,30.0
2005,9,8,12,4,17.4,131.5,975.0,33.0
2005,9,8,18,4,18.2,131.1,975.0,33.0
2005,9,9,0,4,19.2,130.4,960.0,40.0
2005,9,9,6,4,20.4,129.6,960.0,40.0
2005,9,9,12,4,21.4,128.5,960.0,40.0
2005,9,9,18,4,22.2,127.5,960.0,40.0
2005,9,10,0,5,23.2,126.3,950.0,45.0
2005,9,10,6,5,24.2,125.2,950.0,45.0
2005,9,10,12,5,25.1,124.4,945.0,50.0
2005,9,10,18,5,26.1,123.5,945.0,50.0
2005,9,11,0,5,27.3,122.7,945.0,50.0
2005,9,11,6,5,28.3,121.8,945.0,50.0
2005,9,11,12,4,29.4,120.8,975.0,33.0
2005,9,11,18,3,30.5,120.1,985.0,25.0
2005,9,12,0,2,31.9,119.5,995.0,20.0
2005,9,12,6,2,32.9,119.4,995.0,20.0
2005,9,12,12,2,34.1,119.9,995.0,20.0
2005,9,12,18,2,35.3,121.1,995.0,18.0
2005,9,13,0,9,35.9,122.7,1000.0,15.0
2005,9,13,6,9,36.4,124.8,1002.0,15.0
2005,9,13,12,9,36.8,126.2,1004.0,12.0
