year,month,day,hour,power,lat,lng,PRES,WND
2006,9,25,0,1,11.8,129.1,1004.0,12.0
2006,9,25,6,1,11.8,128.8,1002.0,15.0
2006,9,25,12,1,11.8,128.4,1000.0,15.0
2006,9,25,18,1,11.8,128.1,1000.0,15.0
2006,9,26,0,2,11.8,127.6,996.0,18.0
2006,9,26,6,2,11.9,127.2,990.0,23.0
2006,9,26,12,3,12.2,126.8,985.0,28.0
2006,9,26,18,4,12.3,126.1,975.0,33.0
2006,9,27,0,4,12.5,125.5,965.0,40.0
2006,9,27,6,5,12.9,124.6,945.0,50.0
2006,9,27,12,5,13.2,123.6,950.0,45.0
2006,9,27,18,4,13.6,122.7,960.0,40.0
2006,9,28,0,4,14.0,121.7,960.0,40.0
2006,9,28,6,4,14.6,120.4,970.0,35.0
2006,9,28,12,4,15.2,119.3,970.0,35.0
2006,9,28,18,4,15.5,118.1,970.0,35.0
2006,9,29,0,4,15.4,116.9,960.0,40.0
2006,9,29,6,4,15.6,115.7,960.0,40.0
2006,9,29,12,5,15.7,114.4,950.0,45.0
2006,9,29,18,5,15.6,113.3,950.0,45.0
2006,9,30,0,5,15.6,112.5,950.0,45.0
2006,9,30,6,5,15.7,111.6,950.0,45.0
2006,9,30,12,5,16.0,110.7,950.0,45.0
2006,9,30,18,5,16.0,109.7,955.0,45.0
2006,10,1,0,4,16.1,108.6,960.0,40.0
2006,10,1,6,4,15.8,107.4,975.0,33.0
2006,10,1,12,3,15.4,106.4,990.0,25.0
2006,10,1,18,2,15.7,105.5,995.0,18.0
2006,10,2,0,1,15.7,104.4,1000.0,15.0
2006,10,2,6,1,15.7,104.1,1002.0,12.0
2006,10,2,12,0,15.8,103.8,1002.0,10.0
