year,month,day,hour,power,lat,lng,PRES,WND
2007,10,25,6,1,18.8,134.4,1004.0,15.0
2007,10,25,12,1,20.0,133.4,1002.0,15.0
2007,10,25,18,1,21.4,132.6,1000.0,15.0
2007,10,26,0,2,23.0,131.7,995.0,18.0
2007,10,26,6,2,23.9,131.4,995.0,20.0
2007,10,26,12,3,25.0,131.6,990.0,25.0
2007,10,26,18,3,26.7,132.9,990.0,25.0
2007,10,27,0,3,28.9,136.0,985.0,28.0
2007,10,27,6,3,33.4,139.6,985.0,28.0
2007,10,27,12,9,35.6,142.2,988.0,23.0
2007,10,27,18,9,38.2,146.2,986.0,23.0
2007,10,28,0,9,39.9,149.3,984.0,23.0
2007,10,28,6,9,40.5,152.6,980.0,23.0
2007,10,28,12,9,41.1,157.0,980.0,23.0
2007,10,28,18,9,42.8,162.9,980.0,23.0
