year,month,day,hour,power,lat,lng,PRES,WND
2007,10,18,12,1,17.6,145.8,1004.0,15.0
2007,10,18,18,1,18.3,145.0,1000.0,15.0
2007,10,19,0,2,19.0,144.2,995.0,18.0
2007,10,19,6,2,19.8,142.9,995.0,20.0
2007,10,19,12,3,20.5,142.1,990.0,25.0
2007,10,19,18,3,21.5,141.0,980.0,30.0
2007,10,20,0,4,22.1,140.7,965.0,40.0
2007,10,20,6,5,23.3,140.6,955.0,45.0
2007,10,20,12,5,24.5,141.0,950.0,45.0
2007,10,20,18,5,26.0,142.1,950.0,45.0
2007,10,21,0,4,27.9,143.9,960.0,40.0
2007,10,21,6,4,29.9,146.3,960.0,40.0
2007,10,21,12,4,32.1,149.2,970.0,35.0
2007,10,21,18,3,34.2,153.2,980.0,30.0
2007,10,22,0,3,35.4,157.5,985.0,28.0
2007,10,22,6,9,36.0,162.0,995.0,20.0
2007,10,22,12,9,37.0,165.9,1002.0,15.0
2007,10,22,18,9,37.8,170.1,1004.0,15.0
