year,month,day,hour,power,lat,lng,PRES,WND
2007,8,4,18,1,18.4,137.5,1002.0,15.0
2007,8,5,0,1,18.9,136.6,1000.0,15.0
2007,8,5,6,2,19.6,135.6,995.0,18.0
2007,8,5,12,2,20.2,134.1,995.0,20.0
2007,8,5,18,2,20.2,133.2,995.0,20.0
2007,8,6,0,2,20.7,131.6,995.0,20.0
2007,8,6,6,2,21.4,130.2,995.0,23.0
2007,8,6,12,3,21.8,128.7,985.0,25.0
2007,8,6,18,3,21.8,127.4,985.0,25.0
2007,8,7,0,3,22.0,125.3,980.0,30.0
2007,8,7,6,3,22.3,123.3,980.0,30.0
2007,8,7,12,3,22.1,122.1,980.0,30.0
2007,8,7,18,3,22.1,120.3,980.0,30.0
2007,8,8,0,3,22.2,118.9,980.0,30.0
2007,8,8,6,3,22.3,117.4,985.0,28.0
2007,8,8,12,2,22.3,116.0,990.0,23.0
2007,8,8,18,2,22.3,114.9,995.0,20.0
2007,8,9,0,2,21.8,113.6,995.0,20.0
2007,8,9,6,2,21.6,113.0,995.0,18.0
2007,8,9,12,2,21.3,112.8,992.0,18.0
2007,8,9,18,2,21.7,113.1,992.0,18.0
2007,8,10,0,2,21.7,113.3,992.0,18.0
2007,8,10,6,2,22.3,113.8,990.0,20.0
2007,8,10,12,1,22.4,113.4,992.0,15.0
2007,8,10,18,1,22.5,113.2,992.0,15.0
2007,8,11,0,1,22.7,113.7,992.0,12.0
2007,8,11,6,1,22.9,114.1,992.0,12.0
2007,8,11,12,0,23.4,115.0,992.0,10.0
