year,month,day,hour,power,lat,lng,PRES,WND
2007,11,1,18,1,18.1,132.5,1006.0,12.0
2007,11,2,0,1,18.2,132.2,1006.0,12.0
2007,11,2,6,1,18.2,131.7,1004.0,12.0
2007,11,2,12,1,18.3,130.8,1004.0,12.0
2007,11,2,18,1,18.3,129.9,1004.0,15.0
2007,11,3,0,1,18.2,129.1,1002.0,15.0
2007,11,3,6,1,18.1,128.4,1000.0,15.0
2007,11,3,12,2,18.0,127.2,998.0,18.0
2007,11,3,18,2,17.5,125.9,990.0,23.0
2007,11,4,0,3,17.1,124.8,990.0,25.0
2007,11,4,6,3,16.9,123.5,985.0,28.0
2007,11,4,12,3,16.8,122.5,980.0,30.0
2007,11,4,18,3,17.2,121.1,980.0,30.0
2007,11,5,0,3,17.6,119.9,985.0,28.0
2007,11,5,6,3,17.8,119.2,990.0,25.0
2007,11,5,12,3,17.9,119.0,990.0,25.0
2007,11,5,18,3,18.0,118.8,985.0,28.0
2007,11,6,0,3,18.3,118.5,980.0,30.0
2007,11,6,6,4,18.6,118.3,975.0,33.0
2007,11,6,12,4,18.7,118.1,975.0,33.0
2007,11,6,18,4,18.5,117.8,975.0,33.0
2007,11,7,0,3,18.5,117.5,980.0,30.0
2007,11,7,6,3,18.4,117.0,980.0,30.0
2007,11,7,12,2,17.8,116.0,990.0,23.0
2007,11,7,18,2,17.2,114.8,995.0,20.0
2007,11,8,0,2,16.7,114.2,995.0,20.0
2007,11,8,6,2,16.4,113.5,995.0,18.0
2007,11,8,12,2,16.3,112.9,995.0,18.0
2007,11,8,18,2,16.1,112.5,995.0,18.0
2007,11,9,0,1,15.0,111.8,1000.0,15.0
2007,11,9,6,1,12.9,111.2,1000.0,15.0
2007,11,9,12,1,12.3,110.6,1002.0,15.0
2007,11,9,18,1,11.6,110.2,1004.0,12.0
2007,11,10,0,1,11.2,109.2,1004.0,12.0
2007,11,10,6,1,10.9,107.9,1006.0,12.0
2007,11,10,12,0,10.7,107.1,1006.0,10.0
