year,month,day,hour,power,lat,lng,PRES,WND
2007,8,12,0,1,17.6,135.8,1006.0,12.0
2007,8,12,6,1,17.3,135.6,1004.0,15.0
2007,8,12,12,1,17.2,135.5,1002.0,15.0
2007,8,12,18,2,17.1,135.1,998.0,18.0
2007,8,13,0,2,16.9,134.5,995.0,20.0
2007,8,13,6,3,16.6,133.8,990.0,25.0
2007,8,13,12,3,16.5,133.1,985.0,28.0
2007,8,13,18,3,16.5,132.4,980.0,30.0
2007,8,14,0,4,16.4,131.6,970.0,35.0
2007,8,14,6,4,16.2,130.7,965.0,40.0
2007,8,14,12,4,15.8,130.0,960.0,40.0
2007,8,14,18,5,15.7,129.3,950.0,45.0
2007,8,15,0,5,15.6,128.7,940.0,50.0
2007,8,15,6,5,15.7,128.1,940.0,50.0
2007,8,15,12,6,16.0,127.7,935.0,55.0
2007,8,15,18,6,16.7,127.2,935.0,55.0
2007,8,16,0,6,17.2,126.6,920.0,60.0
2007,8,16,6,6,17.9,126.1,910.0,65.0
2007,8,16,12,6,18.7,125.6,910.0,65.0
2007,8,16,18,6,19.4,124.8,915.0,60.0
2007,8,17,0,6,20.4,124.1,920.0,60.0
2007,8,17,6,6,21.0,123.4,935.0,55.0
2007,8,17,12,6,21.8,122.9,935.0,55.0
2007,8,17,18,5,22.7,122.0,940.0,50.0
2007,8,18,0,5,23.5,121.1,950.0,45.0
2007,8,18,6,4,24.0,119.9,960.0,40.0
2007,8,18,12,4,24.3,119.5,970.0,35.0
2007,8,18,18,4,24.9,119.0,975.0,33.0
2007,8,19,0,2,25.2,118.5,990.0,23.0
2007,8,19,6,2,25.5,118.1,990.0,23.0
2007,8,19,12,1,26.3,117.4,995.0,17.0
2007,8,19,18,1,27.0,116.9,998.0,15.0
2007,8,20,0,1,27.1,116.5,998.0,12.0
2007,8,20,6,1,27.4,116.3,998.0,12.0
2007,8,20,12,0,27.6,115.9,998.0,10.0
2007,8,20,18,0,27.6,115.2,1000.0,10.0
2007,8,21,0,0,27.6,114.8,1000.0,10.0
2007,8,21,6,0,27.6,114.4,1000.0,10.0
2007,8,21,12,0,27.6,114.0,1000.0,10.0
2007,8,21,18,0,27.6,113.7,1000.0,10.0
2007,8,22,0,0,27.6,113.3,1000.0,10.0
2007,8,22,6,0,27.7,113.0,1000.0,10.0
2007,8,22,12,0,27.8,112.6,1002.0,10.0
2007,8,22,18,0,28.0,111.7,1002.0,10.0
2007,8,23,0,0,27.8,110.7,1004.0,10.0
2007,8,23,6,0,27.7,109.9,1004.0,10.0
2007,8,23,12,0,27.1,108.8,1004.0,10.0
2007,8,23,18,0,26.7,107.3,1004.0,10.0
2007,8,24,0,0,25.9,106.5,1006.0,10.0
2007,8,24,6,0,25.0,106.0,1006.0,10.0
