year,month,day,hour,power,lat,lng,PRES,WND
2008,12,11,0,1,12.5,147.2,1002.0,15.0
2008,12,11,6,1,12.7,145.0,1002.0,15.0
2008,12,11,12,1,12.9,143.4,1002.0,15.0
2008,12,11,18,1,13.1,142.0,1000.0,15.0
2008,12,12,0,1,13.3,141.1,1000.0,15.0
2008,12,12,6,1,13.6,140.3,1000.0,15.0
2008,12,12,12,2,14.0,139.2,995.0,18.0
2008,12,12,18,2,14.1,138.1,995.0,20.0
2008,12,13,0,2,14.1,137.0,990.0,23.0
2008,12,13,6,2,13.9,135.8,990.0,23.0
2008,12,13,12,2,13.9,134.7,990.0,23.0
2008,12,13,18,2,13.8,133.6,990.0,23.0
2008,12,14,0,3,13.6,132.8,985.0,25.0
2008,12,14,6,3,13.6,132.1,985.0,25.0
2008,12,14,12,3,13.6,131.4,985.0,25.0
2008,12,14,18,3,13.7,130.8,985.0,25.0
2008,12,15,0,3,13.8,130.3,980.0,30.0
2008,12,15,6,3,14.3,130.3,980.0,30.0
2008,12,15,12,4,14.9,130.4,975.0,33.0
2008,12,15,18,4,15.5,130.5,970.0,35.0
2008,12,16,0,4,15.8,130.5,970.0,35.0
2008,12,16,6,4,16.4,130.6,975.0,33.0
2008,12,16,12,3,17.0,130.9,980.0,30.0
2008,12,16,18,3,17.7,131.3,985.0,28.0
2008,12,17,0,3,18.4,132.0,990.0,25.0
2008,12,17,6,3,19.3,132.6,990.0,25.0
2008,12,17,12,2,20.1,133.7,990.0,23.0
2008,12,17,18,2,21.1,135.3,990.0,20.0
2008,12,18,0,2,22.0,137.3,995.0,18.0
2008,12,18,6,1,23.4,139.6,1000.0,15.0
2008,12,18,12,9,24.7,142.0,1002.0,12.0
2008,12,18,18,9,25.5,144.5,1006.0,12.0
