year,month,day,hour,power,lat,lng,PRES,WND
2008,11,5,12,1,8.4,127.8,1006.0,13.0
2008,11,5,18,1,9.3,126.2,1006.0,13.0
2008,11,6,0,1,9.9,124.6,1006.0,13.0
2008,11,6,6,1,10.9,123.0,1006.0,13.0
2008,11,6,12,1,11.5,121.6,1006.0,13.0
2008,11,6,18,1,12.4,120.1,1006.0,13.0
2008,11,7,0,1,13.0,118.6,1004.0,15.0
2008,11,7,6,2,13.6,117.0,1000.0,18.0
2008,11,7,12,2,14.3,116.2,1000.0,18.0
2008,11,7,18,2,15.0,115.6,995.0,20.0
2008,11,8,0,2,15.4,115.3,990.0,23.0
2008,11,8,6,2,15.9,115.1,990.0,23.0
2008,11,8,12,3,16.6,115.0,985.0,25.0
2008,11,8,18,3,17.3,115.2,985.0,25.0
2008,11,9,0,3,17.8,115.7,985.0,25.0
2008,11,9,6,2,17.9,116.0,990.0,23.0
2008,11,9,12,2,17.2,116.1,998.0,18.0
2008,11,9,18,2,16.7,116.1,1000.0,18.0
2008,11,10,0,1,16.0,116.5,1000.0,16.0
2008,11,10,6,1,14.9,116.7,1000.0,16.0
2008,11,10,12,1,13.9,117.0,1002.0,16.0
2008,11,10,18,1,13.2,116.5,1004.0,15.0
2008,11,11,0,1,12.8,116.0,1006.0,15.0
2008,11,11,6,1,12.5,115.9,1006.0,15.0
2008,11,11,12,1,12.0,115.9,1006.0,15.0
2008,11,11,18,1,11.6,116.0,1006.0,15.0
2008,11,12,0,1,11.3,116.0,1006.0,15.0
2008,11,12,6,1,11.2,115.9,1006.0,15.0
2008,11,12,12,1,11.1,115.5,1006.0,15.0
2008,11,12,18,1,11.1,114.4,1006.0,15.0
2008,11,13,0,1,11.6,113.6,1006.0,15.0
2008,11,13,6,1,12.0,113.0,1006.0,15.0
2008,11,13,12,1,12.0,112.0,1006.0,15.0
2008,11,13,18,1,11.7,110.6,1006.0,15.0
