year,month,day,hour,power,lat,lng,PRES,WND
2008,9,27,18,1,14.0,112.9,1000.0,15.0
2008,9,28,0,1,14.2,112.7,1000.0,15.0
2008,9,28,6,1,14.5,112.5,998.0,15.0
2008,9,28,12,1,15.1,112.2,996.0,15.0
2008,9,28,18,1,15.7,111.9,994.0,15.0
2008,9,29,0,2,16.3,111.5,992.0,18.0
2008,9,29,6,2,16.6,110.5,992.0,20.0
2008,9,29,12,2,17.1,109.3,990.0,23.0
2008,9,29,18,2,17.4,108.1,990.0,23.0
2008,9,30,0,2,17.5,107.0,990.0,23.0
2008,9,30,6,2,18.0,105.3,998.0,18.0
2008,9,30,12,1,19.1,102.6,1002.0,15.0
