year,month,day,hour,power,lat,lng,PRES,WND
2008,5,26,6,1,10.7,140.1,1006.0,13.0
2008,5,26,12,1,11.7,139.2,1006.0,13.0
2008,5,26,18,1,12.6,138.7,1006.0,13.0
2008,5,27,0,1,13.7,138.0,1004.0,15.0
2008,5,27,6,2,14.1,137.6,998.0,18.0
2008,5,27,12,2,14.3,137.5,995.0,20.0
2008,5,27,18,2,14.5,137.3,990.0,23.0
2008,5,28,0,3,14.9,137.1,990.0,25.0
2008,5,28,6,3,15.5,136.9,985.0,28.0
2008,5,28,12,3,15.8,136.8,980.0,30.0
2008,5,28,18,4,16.0,136.5,970.0,35.0
2008,5,29,0,4,16.1,136.3,960.0,40.0
2008,5,29,6,5,16.2,135.8,950.0,45.0
2008,5,29,12,5,16.2,135.5,940.0,50.0
2008,5,29,18,5,16.4,135.1,940.0,50.0
2008,5,30,0,5,16.6,134.7,940.0,50.0
2008,5,30,6,5,17.0,134.1,940.0,50.0
2008,5,30,12,5,17.3,133.5,950.0,45.0
2008,5,30,18,5,17.9,133.0,950.0,45.0
2008,5,31,0,4,18.3,132.9,960.0,40.0
2008,5,31,6,4,19.2,132.9,970.0,35.0
2008,5,31,12,4,19.7,132.8,970.0,35.0
2008,5,31,18,4,20.2,132.8,975.0,33.0
2008,6,1,0,4,20.6,132.9,970.0,35.0
2008,6,1,6,4,21.5,133.1,975.0,33.0
2008,6,1,12,4,22.4,133.3,970.0,35.0
2008,6,1,18,4,23.5,133.6,970.0,35.0
2008,6,2,0,4,25.1,134.4,970.0,35.0
2008,6,2,6,4,26.8,135.5,970.0,35.0
2008,6,2,12,4,28.3,137.0,975.0,33.0
2008,6,2,18,3,30.0,138.8,980.0,30.0
2008,6,3,0,3,31.5,140.3,990.0,25.0
2008,6,3,6,9,32.8,142.5,990.0,20.0
2008,6,3,12,9,33.0,144.5,994.0,15.0
2008,6,3,18,9,33.4,146.8,996.0,15.0
2008,6,4,0,9,33.4,149.4,1000.0,15.0
2008,6,4,6,9,33.2,151.6,1004.0,12.0
2008,6,4,12,9,32.6,154.4,1004.0,12.0
2008,6,4,18,9,31.7,158.2,1006.0,12.0
