year,month,day,hour,power,lat,lng,PRES,WND
2009,9,25,0,1,14.1,128.5,1000.0,13.0
2009,9,25,6,1,14.2,127.2,1000.0,13.0
2009,9,25,12,1,14.7,125.5,998.0,15.0
2009,9,25,18,1,15.0,123.9,998.0,15.0
2009,9,26,0,2,15.2,122.7,995.0,18.0
2009,9,26,6,2,15.4,121.1,995.0,20.0
2009,9,26,12,2,15.4,119.7,995.0,20.0
2009,9,26,18,2,15.4,118.2,990.0,23.0
2009,9,27,0,3,15.4,116.6,990.0,25.0
2009,9,27,6,3,15.4,115.6,990.0,25.0
2009,9,27,12,3,15.8,114.6,985.0,28.0
2009,9,27,18,3,15.8,113.6,980.0,30.0
2009,9,28,0,4,15.9,112.8,975.0,33.0
2009,9,28,6,4,15.9,112.0,965.0,35.0
2009,9,28,12,4,16.1,111.2,960.0,38.0
2009,9,28,18,4,16.0,110.3,960.0,40.0
2009,9,29,0,4,15.5,109.5,970.0,35.0
2009,9,29,6,4,15.4,108.9,970.0,35.0
2009,9,29,12,3,15.4,107.9,980.0,30.0
2009,9,29,18,2,15.3,106.8,990.0,23.0
2009,9,30,0,1,15.3,106.2,996.0,16.0
2009,9,30,6,1,15.3,105.9,998.0,13.0
2009,9,30,12,1,15.2,105.5,1000.0,13.0
2009,9,30,18,0,15.1,105.0,1000.0,10.0
