year,month,day,hour,power,lat,lng,PRES,WND
2009,9,12,18,1,18.8,121.0,1000.0,15.0
2009,9,13,0,2,19.5,120.0,1000.0,18.0
2009,9,13,6,2,19.3,119.1,998.0,20.0
2009,9,13,12,2,19.4,117.9,998.0,20.0
2009,9,13,18,2,19.9,116.6,995.0,23.0
2009,9,14,0,2,20.0,115.8,990.0,23.0
2009,9,14,6,3,20.3,115.1,980.0,30.0
2009,9,14,12,4,21.0,114.3,975.0,33.0
2009,9,14,18,4,21.4,113.3,960.0,40.0
2009,9,15,0,4,22.0,112.1,970.0,35.0
2009,9,15,6,2,22.4,110.7,990.0,23.0
2009,9,15,12,2,22.9,109.7,995.0,18.0
2009,9,15,18,1,23.2,108.8,1000.0,15.0
