year,month,day,hour,power,lat,lng,PRES,WND
2009,8,28,0,1,21.6,149.0,1002.0,15.0
2009,8,28,6,1,22.6,149.0,1000.0,15.0
2009,8,28,12,2,23.7,148.8,996.0,18.0
2009,8,28,18,2,24.4,148.5,996.0,18.0
2009,8,29,0,2,25.8,147.9,995.0,20.0
2009,8,29,6,2,27.4,146.8,990.0,23.0
2009,8,29,12,2,28.6,146.0,990.0,23.0
2009,8,29,18,3,29.9,144.5,990.0,25.0
2009,8,30,0,3,30.6,142.5,985.0,28.0
2009,8,30,6,3,31.0,141.0,985.0,28.0
2009,8,30,12,3,31.8,140.5,985.0,28.0
2009,8,30,18,3,32.6,140.0,980.0,30.0
2009,8,31,0,3,33.5,139.9,980.0,30.0
2009,8,31,6,3,34.6,140.5,985.0,28.0
2009,8,31,12,3,36.4,141.5,990.0,25.0
2009,8,31,18,3,38.3,142.9,990.0,25.0
2009,9,1,0,2,40.3,144.6,990.0,23.0
2009,9,1,6,2,42.2,146.3,995.0,20.0
2009,9,1,12,9,42.9,148.3,995.0,18.0
2009,9,1,18,9,43.3,150.3,1000.0,18.0
2009,9,2,0,9,43.5,152.8,1000.0,18.0
2009,9,2,6,9,43.5,155.5,1004.0,18.0
