year,month,day,hour,power,lat,lng,PRES,WND
2009,8,3,6,1,20.2,133.7,1000.0,15.0
2009,8,3,12,1,20.3,134.8,1000.0,15.0
2009,8,3,18,2,21.0,135.5,994.0,18.0
2009,8,4,0,2,21.7,135.8,994.0,18.0
2009,8,4,6,2,22.2,135.4,994.0,20.0
2009,8,4,12,2,22.4,134.5,990.0,23.0
2009,8,4,18,3,22.5,133.8,990.0,25.0
2009,8,5,0,3,22.7,133.2,985.0,28.0
2009,8,5,6,4,22.8,132.2,975.0,33.0
2009,8,5,12,4,23.0,131.0,970.0,35.0
2009,8,5,18,4,23.1,129.5,965.0,38.0
2009,8,6,0,4,23.3,128.3,960.0,40.0
2009,8,6,6,4,23.3,127.0,960.0,40.0
2009,8,6,12,4,23.4,125.4,955.0,40.0
2009,8,6,18,4,23.4,124.0,955.0,40.0
2009,8,7,0,4,23.6,123.2,950.0,40.0
2009,8,7,6,4,23.6,122.4,950.0,40.0
2009,8,7,12,4,23.7,122.0,950.0,40.0
2009,8,7,18,4,24.0,121.5,960.0,38.0
2009,8,8,0,4,24.6,121.5,970.0,35.0
2009,8,8,6,4,25.1,121.0,970.0,35.0
2009,8,8,12,4,25.3,120.6,970.0,35.0
2009,8,8,18,4,25.6,120.5,970.0,35.0
2009,8,9,0,4,25.9,120.4,975.0,33.0
2009,8,9,6,4,26.3,120.1,975.0,33.0
2009,8,9,12,3,26.7,119.8,975.0,30.0
2009,8,9,18,3,27.2,119.7,985.0,25.0
2009,8,10,0,2,27.7,119.8,987.0,23.0
2009,8,10,6,2,28.7,120.0,990.0,20.0
2009,8,10,12,2,30.1,120.0,994.0,20.0
2009,8,10,18,2,31.2,119.9,995.0,20.0
2009,8,11,0,2,32.4,120.6,995.0,18.0
2009,8,11,6,2,32.8,120.8,995.0,18.0
2009,8,11,12,1,33.6,121.6,998.0,15.0
2009,8,11,18,1,34.4,123.4,998.0,12.0
2009,8,12,0,9,35.4,125.4,998.0,12.0
2009,8,12,6,9,36.2,127.6,998.0,12.0
2009,8,12,12,9,36.8,130.8,998.0,12.0
2009,8,12,18,9,38.2,135.4,998.0,12.0
2009,8,13,0,9,39.8,138.8,998.0,12.0
2009,8,13,6,9,41.2,141.9,998.0,12.0
