year,month,day,hour,power,lat,lng,PRES,WND
2010,9,20,6,1,18.8,146.4,1006.0,13.0
2010,9,20,12,1,18.9,145.8,1006.0,15.0
2010,9,20,18,1,19.2,145.5,1004.0,15.0
2010,9,21,0,1,19.2,145.2,1002.0,15.0
2010,9,21,6,1,19.0,144.9,1000.0,15.0
2010,9,21,12,1,19.0,144.4,998.0,15.0
2010,9,21,18,2,19.3,143.7,995.0,18.0
2010,9,22,0,2,19.4,143.0,995.0,18.0
2010,9,22,6,2,19.5,142.3,995.0,20.0
2010,9,22,12,2,19.7,141.8,990.0,23.0
2010,9,22,18,3,19.8,141.3,990.0,25.0
2010,9,23,0,3,20.1,141.0,980.0,30.0
2010,9,23,6,4,20.7,141.0,975.0,33.0
2010,9,23,12,4,21.8,141.0,970.0,35.0
2010,9,23,18,4,22.9,140.9,970.0,35.0
2010,9,24,0,4,24.3,140.7,960.0,40.0
2010,9,24,6,5,26.2,141.2,950.0,45.0
2010,9,24,12,5,28.5,141.7,950.0,45.0
2010,9,24,18,5,31.0,142.7,950.0,45.0
2010,9,25,0,4,34.4,144.5,960.0,40.0
2010,9,25,6,4,37.2,145.9,960.0,40.0
2010,9,25,12,9,39.2,148.0,968.0,33.0
2010,9,25,18,9,41.3,150.5,970.0,28.0
2010,9,26,0,9,43.8,153.4,975.0,25.0
