year,month,day,hour,power,lat,lng,PRES,WND
2010,10,13,0,1,11.8,141.4,1004.0,13.0
2010,10,13,6,1,11.9,141.1,1002.0,15.0
2010,10,13,12,2,12.0,140.9,998.0,18.0
2010,10,13,18,2,12.1,140.6,998.0,18.0
2010,10,14,0,2,12.2,140.0,995.0,20.0
2010,10,14,6,2,12.7,139.2,990.0,23.0
2010,10,14,12,3,13.1,138.5,988.0,25.0
2010,10,14,18,3,13.6,137.8,980.0,30.0
2010,10,15,0,4,14.3,137.2,975.0,33.0
2010,10,15,6,4,14.9,136.6,970.0,35.0
2010,10,15,12,4,15.7,135.6,970.0,35.0
2010,10,15,18,4,16.6,134.3,965.0,40.0
2010,10,16,0,4,17.5,133.0,960.0,40.0
2010,10,16,6,4,18.1,131.6,960.0,40.0
2010,10,16,12,5,18.4,130.2,950.0,45.0
2010,10,16,18,5,18.7,128.8,940.0,50.0
2010,10,17,0,6,18.7,127.5,930.0,60.0
2010,10,17,6,6,18.5,126.2,910.0,65.0
2010,10,17,12,6,18.1,125.1,895.0,72.0
2010,10,17,18,6,17.6,124.2,895.0,72.0
2010,10,18,0,6,17.5,123.3,900.0,70.0
2010,10,18,6,6,17.2,121.8,920.0,60.0
2010,10,18,12,5,16.8,120.6,940.0,50.0
2010,10,18,18,5,16.6,119.5,945.0,50.0
2010,10,19,0,5,16.5,118.9,950.0,45.0
2010,10,19,6,5,16.6,118.4,950.0,45.0
2010,10,19,12,5,16.7,117.9,950.0,45.0
2010,10,19,18,5,16.9,117.6,940.0,50.0
2010,10,20,0,5,17.2,117.3,940.0,50.0
2010,10,20,6,5,17.8,117.2,940.0,50.0
2010,10,20,12,5,18.4,117.2,940.0,50.0
2010,10,20,18,5,18.8,117.4,940.0,50.0
2010,10,21,0,5,19.4,117.5,940.0,50.0
2010,10,21,6,5,19.9,117.6,940.0,50.0
2010,10,21,12,5,20.2,117.8,940.0,50.0
2010,10,21,18,5,20.6,118.0,940.0,50.0
2010,10,22,0,5,21.0,118.2,950.0,45.0
2010,10,22,6,5,21.6,118.3,950.0,45.0
2010,10,22,12,4,22.3,118.3,960.0,40.0
2010,10,22,18,4,22.8,118.2,965.0,40.0
2010,10,23,0,4,23.4,118.0,965.0,40.0
2010,10,23,6,4,24.0,117.7,975.0,33.0
2010,10,23,12,2,24.4,117.8,990.0,23.0
2010,10,23,18,1,24.8,118.0,1002.0,15.0
2010,10,24,0,1,25.3,118.4,1006.0,12.0
2010,10,24,6,0,26.2,118.6,1006.0,10.0
