year,month,day,hour,power,lat,lng,PRES,WND
2011,5,6,12,1,11.7,128.2,1002.0,15.0
2011,5,6,18,1,11.9,127.3,1000.0,15.0
2011,5,7,0,1,12.5,126.6,1000.0,15.0
2011,5,7,6,2,12.9,126.0,998.0,18.0
2011,5,7,12,2,13.2,125.3,990.0,20.0
2011,5,7,18,2,13.5,124.7,990.0,20.0
2011,5,8,0,2,13.8,124.1,990.0,23.0
2011,5,8,6,2,14.5,123.6,990.0,23.0
2011,5,8,12,2,15.1,123.0,990.0,23.0
2011,5,8,18,2,15.6,122.8,990.0,23.0
2011,5,9,0,2,16.4,122.5,990.0,23.0
2011,5,9,6,2,17.2,122.2,995.0,20.0
2011,5,9,12,2,18.0,122.2,995.0,18.0
2011,5,9,18,2,19.0,122.3,995.0,18.0
2011,5,10,0,2,20.3,122.5,995.0,18.0
2011,5,10,6,2,21.1,122.9,995.0,18.0
2011,5,10,12,2,22.3,123.8,995.0,18.0
2011,5,10,18,2,23.5,124.8,995.0,18.0
2011,5,11,0,2,25.1,126.2,995.0,18.0
2011,5,11,6,2,26.6,127.6,995.0,18.0
2011,5,11,12,2,28.4,129.5,995.0,18.0
2011,5,11,18,2,30.0,132.0,995.0,18.0
2011,5,12,0,1,31.2,134.6,998.0,16.0
2011,5,12,6,1,32.7,137.2,998.0,16.0
2011,5,12,12,1,34.5,140.7,998.0,16.0
2011,5,12,18,9,36.4,143.3,998.0,16.0
2011,5,13,0,9,37.9,145.8,988.0,20.0
2011,5,13,6,9,39.2,148.1,986.0,20.0
2011,5,13,12,9,41.1,150.7,986.0,20.0
