year,month,day,hour,power,lat,lng,PRES,WND
2011,10,9,6,1,8.0,135.3,1004.0,12.0
2011,10,9,12,1,7.8,134.5,1004.0,12.0
2011,10,9,18,1,7.5,133.4,1004.0,12.0
2011,10,10,0,1,7.5,132.1,1004.0,12.0
2011,10,10,6,1,7.5,130.6,1000.0,15.0
2011,10,10,12,1,7.5,129.8,1000.0,15.0
2011,10,10,18,1,7.7,129.0,1000.0,15.0
2011,10,11,0,1,8.1,128.6,1000.0,15.0
2011,10,11,6,2,8.6,128.0,998.0,18.0
2011,10,11,12,2,9.3,126.8,998.0,18.0
2011,10,11,18,2,10.5,125.6,998.0,18.0
2011,10,12,0,2,11.3,123.5,998.0,18.0
2011,10,12,6,1,11.8,122.8,1000.0,15.0
2011,10,12,12,1,12.2,121.7,1000.0,15.0
2011,10,12,18,1,12.4,120.8,1000.0,15.0
2011,10,13,0,1,12.6,119.9,1000.0,15.0
2011,10,13,6,1,13.4,118.8,1000.0,15.0
2011,10,13,12,1,14.2,118.1,1000.0,15.0
2011,10,13,18,1,15.3,117.7,1000.0,15.0
2011,10,14,0,1,16.8,117.5,1000.0,15.0
2011,10,14,6,1,17.7,117.3,1000.0,15.0
2011,10,14,12,1,18.1,117.4,1002.0,13.0
2011,10,14,18,1,18.6,117.6,1002.0,13.0
2011,10,15,0,1,19.1,117.8,1002.0,13.0
2011,10,15,6,0,19.2,118.0,1004.0,10.0
