year,month,day,hour,power,lat,lng,PRES,WND
2011,9,23,18,1,16.2,110.6,998.0,15.0
2011,9,24,0,1,15.7,110.9,998.0,15.0
2011,9,24,6,1,15.4,111.5,998.0,15.0
2011,9,24,12,1,15.4,112.3,998.0,15.0
2011,9,24,18,1,15.9,113.0,998.0,15.0
2011,9,25,0,2,16.3,113.0,996.0,18.0
2011,9,25,6,2,16.8,112.7,996.0,18.0
2011,9,25,12,2,17.1,112.1,995.0,18.0
2011,9,25,18,2,17.0,111.6,995.0,18.0
2011,9,26,0,2,16.8,111.2,995.0,18.0
2011,9,26,6,2,16.6,110.7,995.0,18.0
2011,9,26,12,2,16.4,110.0,995.0,18.0
2011,9,26,18,1,16.4,109.0,1000.0,16.0
2011,9,27,0,1,16.8,107.5,1000.0,16.0
2011,9,27,6,0,16.8,106.3,1002.0,9.0
