year,month,day,hour,power,lat,lng,PRES,WND
2011,8,2,18,1,23.2,163.3,1004.0,15.0
2011,8,3,0,1,23.2,161.8,1002.0,15.0
2011,8,3,6,2,23.2,160.8,1000.0,18.0
2011,8,3,12,2,23.2,159.9,998.0,18.0
2011,8,3,18,2,23.5,159.0,998.0,18.0
2011,8,4,0,2,24.4,158.3,998.0,18.0
2011,8,4,6,2,24.7,157.4,998.0,18.0
2011,8,4,12,2,24.9,156.8,998.0,18.0
2011,8,4,18,2,25.4,156.2,995.0,20.0
2011,8,5,0,2,26.1,155.7,995.0,20.0
2011,8,5,6,2,26.8,155.3,990.0,23.0
2011,8,5,12,3,27.2,154.8,990.0,25.0
2011,8,5,18,3,27.6,154.3,990.0,25.0
2011,8,6,0,3,28.0,153.9,980.0,30.0
2011,8,6,6,3,28.7,153.8,980.0,30.0
2011,8,6,12,3,29.4,153.8,980.0,30.0
2011,8,6,18,3,30.1,153.9,970.0,30.0
2011,8,7,0,3,30.7,154.0,980.0,30.0
2011,8,7,6,3,31.5,154.2,980.0,30.0
2011,8,7,12,3,32.2,154.7,980.0,30.0
2011,8,7,18,3,33.1,155.3,980.0,30.0
2011,8,8,0,3,34.3,156.2,980.0,30.0
2011,8,8,6,3,35.9,157.7,985.0,28.0
2011,8,8,12,3,37.4,159.0,985.0,25.0
2011,8,8,18,3,39.1,159.9,985.0,25.0
2011,8,9,0,3,40.4,160.6,985.0,25.0
2011,8,9,6,2,41.4,162.0,990.0,23.0
2011,8,9,12,2,42.0,163.1,990.0,23.0
2011,8,9,18,9,43.3,164.0,990.0,23.0
2011,8,10,0,9,44.3,164.6,990.0,23.0
