year,month,day,hour,power,lat,lng,PRES,WND
2011,7,27,0,1,10.0,141.6,1004.0,15.0
2011,7,27,6,1,10.6,140.5,1004.0,15.0
2011,7,27,12,1,11.1,139.3,1004.0,15.0
2011,7,27,18,1,11.2,137.5,1002.0,15.0
2011,7,28,0,1,11.4,135.8,1000.0,15.0
2011,7,28,6,2,11.7,135.0,998.0,18.0
2011,7,28,12,2,12.1,134.2,996.0,20.0
2011,7,28,18,2,12.3,133.7,992.0,23.0
2011,7,29,0,2,12.7,133.7,990.0,23.0
2011,7,29,6,3,13.2,133.8,985.0,25.0
2011,7,29,12,3,14.0,133.9,982.0,28.0
2011,7,29,18,3,14.8,133.9,980.0,30.0
2011,7,30,0,4,15.7,133.7,970.0,35.0
2011,7,30,6,5,16.2,133.2,950.0,45.0
2011,7,30,12,6,16.5,132.8,930.0,55.0
2011,7,30,18,6,16.6,132.5,915.0,65.0
2011,7,31,0,6,16.8,132.6,925.0,60.0
2011,7,31,6,6,17.1,132.9,930.0,55.0
2011,7,31,12,6,17.7,133.5,930.0,55.0
2011,7,31,18,6,18.5,133.6,935.0,52.0
2011,8,1,0,6,18.9,133.7,935.0,52.0
2011,8,1,6,5,19.8,134.1,940.0,50.0
2011,8,1,12,5,20.6,134.2,940.0,50.0
2011,8,1,18,5,21.4,134.2,940.0,50.0
2011,8,2,0,5,22.0,134.1,940.0,50.0
2011,8,2,6,5,22.7,134.1,940.0,50.0
2011,8,2,12,5,23.3,133.8,940.0,50.0
2011,8,2,18,5,23.8,133.3,940.0,50.0
2011,8,3,0,5,24.1,132.8,940.0,50.0
2011,8,3,6,5,24.3,132.1,940.0,50.0
2011,8,3,12,5,24.4,131.4,950.0,45.0
2011,8,3,18,5,24.5,130.6,950.0,45.0
2011,8,4,0,5,24.6,129.6,955.0,42.0
2011,8,4,6,5,24.7,129.2,955.0,42.0
2011,8,4,12,5,24.9,128.6,955.0,42.0
2011,8,4,18,4,25.1,128.2,955.0,40.0
2011,8,5,0,4,25.3,127.8,955.0,40.0
2011,8,5,6,4,25.7,127.3,955.0,40.0
2011,8,5,12,4,26.0,126.9,960.0,38.0
2011,8,5,18,4,26.5,126.3,960.0,38.0
2011,8,6,0,4,27.5,125.7,965.0,35.0
2011,8,6,6,4,28.5,125.2,965.0,35.0
2011,8,6,12,4,29.4,124.8,965.0,35.0
2011,8,6,18,4,30.5,124.5,965.0,35.0
2011,8,7,0,4,31.9,124.4,970.0,33.0
2011,8,7,6,4,33.4,124.1,970.0,33.0
2011,8,7,12,3,34.7,123.7,975.0,30.0
2011,8,7,18,3,35.9,123.6,975.0,30.0
2011,8,8,0,3,37.4,123.8,975.0,30.0
2011,8,8,6,3,38.7,124.2,980.0,25.0
2011,8,8,12,2,40.3,124.9,990.0,20.0
2011,8,8,18,1,42.5,125.5,995.0,15.0
2011,8,9,0,1,43.9,126.3,996.0,13.0
