year,month,day,hour,power,lat,lng,PRES,WND
2011,9,23,0,1,12.8,139.4,1004.0,12.0
2011,9,23,6,1,12.9,138.8,1002.0,12.0
2011,9,23,12,1,13.5,137.8,1000.0,15.0
2011,9,23,18,1,13.7,137.2,1000.0,15.0
2011,9,24,0,2,14.1,136.3,998.0,18.0
2011,9,24,6,2,14.8,135.0,995.0,20.0
2011,9,24,12,2,15.0,133.6,992.0,23.0
2011,9,24,18,3,15.0,132.2,990.0,25.0
2011,9,25,0,3,14.6,130.6,985.0,28.0
2011,9,25,6,3,14.5,129.3,980.0,30.0
2011,9,25,12,3,14.6,128.2,980.0,30.0
2011,9,25,18,4,15.0,126.9,975.0,33.0
2011,9,26,0,4,15.2,126.1,970.0,35.0
2011,9,26,6,4,15.4,125.1,970.0,35.0
2011,9,26,12,4,15.9,124.0,965.0,40.0
2011,9,26,18,5,16.2,122.9,950.0,45.0
2011,9,27,0,5,16.4,121.5,960.0,42.0
2011,9,27,6,4,16.6,120.2,965.0,38.0
2011,9,27,12,4,16.9,119.1,965.0,38.0
2011,9,27,18,4,17.3,118.0,965.0,38.0
2011,9,28,0,4,17.4,116.8,965.0,38.0
2011,9,28,6,4,17.5,115.8,965.0,38.0
2011,9,28,12,4,18.2,114.8,965.0,38.0
2011,9,28,18,4,18.8,113.8,960.0,40.0
2011,9,29,0,4,19.5,112.4,960.0,40.0
2011,9,29,6,4,19.7,111.1,960.0,40.0
2011,9,29,12,4,20.0,110.1,970.0,35.0
2011,9,29,18,3,20.7,109.0,980.0,30.0
2011,9,30,0,3,20.9,108.0,985.0,28.0
2011,9,30,6,2,20.9,106.8,992.0,23.0
2011,9,30,12,2,21.0,106.1,998.0,18.0
2011,9,30,18,1,21.3,105.3,1004.0,12.0
