year,month,day,hour,power,lat,lng,PRES,WND
2011,9,9,12,1,20.3,144.4,1006.0,12.0
2011,9,9,18,1,20.2,143.5,1006.0,12.0
2011,9,10,0,1,20.2,142.9,1006.0,12.0
2011,9,10,6,1,20.2,142.0,1004.0,12.0
2011,9,10,12,1,20.3,140.5,1002.0,12.0
2011,9,10,18,1,20.3,139.5,1000.0,15.0
2011,9,11,0,1,20.5,138.1,1000.0,15.0
2011,9,11,6,1,20.6,137.3,1000.0,15.0
2011,9,11,12,1,20.8,136.4,1000.0,15.0
2011,9,11,18,1,21.0,135.9,1000.0,15.0
2011,9,12,0,1,21.6,136.1,1000.0,15.0
2011,9,12,6,1,21.8,136.7,1000.0,15.0
2011,9,12,12,1,21.9,137.3,1000.0,15.0
2011,9,12,18,1,22.1,137.8,1000.0,15.0
2011,9,13,0,1,22.5,138.1,1000.0,15.0
2011,9,13,6,2,22.9,138.2,998.0,18.0
2011,9,13,12,2,23.3,138.0,995.0,18.0
2011,9,13,18,2,23.8,137.9,995.0,18.0
2011,9,14,0,2,24.4,137.6,995.0,18.0
2011,9,14,6,2,24.6,136.7,995.0,18.0
2011,9,14,12,2,25.2,135.2,995.0,18.0
2011,9,14,18,2,25.4,133.5,995.0,18.0
2011,9,15,0,2,25.5,132.5,995.0,18.0
2011,9,15,6,2,25.7,131.5,992.0,20.0
2011,9,15,12,2,25.9,131.0,992.0,20.0
2011,9,15,18,2,26.1,130.5,992.0,20.0
2011,9,16,0,2,26.3,130.1,992.0,20.0
2011,9,16,6,2,26.4,129.8,990.0,23.0
2011,9,16,12,2,26.1,129.6,990.0,23.0
2011,9,16,18,2,25.7,129.6,990.0,23.0
2011,9,17,0,2,25.3,129.7,990.0,23.0
2011,9,17,6,3,25.2,129.9,990.0,25.0
2011,9,17,12,3,24.9,130.3,985.0,28.0
2011,9,17,18,3,24.8,130.6,980.0,30.0
2011,9,18,0,3,25.2,131.0,980.0,30.0
2011,9,18,6,3,25.9,130.8,980.0,30.0
2011,9,18,12,3,26.3,130.4,980.0,30.0
2011,9,18,18,3,26.5,130.3,980.0,30.0
2011,9,19,0,3,26.8,130.5,980.0,30.0
2011,9,19,6,3,27.7,130.5,980.0,30.0
2011,9,19,12,4,28.2,130.2,960.0,38.0
2011,9,19,18,5,28.3,130.6,950.0,45.0
2011,9,20,0,5,28.9,131.6,940.0,50.0
2011,9,20,6,6,29.4,132.3,935.0,52.0
2011,9,20,12,6,30.3,133.5,935.0,52.0
2011,9,20,18,5,31.6,134.7,945.0,48.0
2011,9,21,0,5,33.0,136.0,950.0,45.0
2011,9,21,6,4,34.8,137.9,960.0,40.0
2011,9,21,12,4,37.3,140.8,970.0,35.0
2011,9,21,18,4,40.7,143.5,975.0,33.0
2011,9,22,0,9,42.8,146.6,980.0,30.0
2011,9,22,6,9,44.6,149.0,982.0,25.0
2011,9,22,12,9,45.9,151.2,984.0,25.0
