year,month,day,hour,power,lat,lng,PRES,WND
2011,8,23,18,1,15.3,142.8,1004.0,13.0
2011,8,24,0,1,15.8,141.8,1004.0,13.0
2011,8,24,6,1,16.3,141.6,1002.0,15.0
2011,8,24,12,1,17.1,141.2,1002.0,15.0
2011,8,24,18,1,17.7,140.8,1000.0,15.0
2011,8,25,0,2,18.4,140.7,998.0,18.0
2011,8,25,6,2,19.3,140.5,996.0,18.0
2011,8,25,12,2,20.1,140.4,995.0,20.0
2011,8,25,18,2,20.5,140.4,992.0,20.0
2011,8,26,0,2,20.9,140.5,990.0,23.0
2011,8,26,6,2,21.5,140.2,990.0,23.0
2011,8,26,12,2,22.1,139.9,990.0,23.0
2011,8,26,18,2,22.3,139.8,985.0,23.0
2011,8,27,0,2,22.4,139.7,980.0,23.0
2011,8,27,6,2,22.5,139.6,980.0,23.0
2011,8,27,12,3,22.6,139.5,975.0,25.0
2011,8,27,18,3,22.8,139.5,975.0,25.0
2011,8,28,0,3,22.9,139.6,975.0,25.0
2011,8,28,6,3,23.1,139.7,975.0,25.0
2011,8,28,12,3,23.3,139.8,975.0,25.0
2011,8,28,18,3,23.5,140.0,975.0,25.0
2011,8,29,0,3,23.7,140.1,975.0,25.0
2011,8,29,6,3,23.9,140.1,975.0,25.0
2011,8,29,12,3,24.2,140.0,970.0,28.0
2011,8,29,18,3,24.6,140.0,970.0,28.0
2011,8,30,0,3,25.2,139.9,970.0,28.0
2011,8,30,6,3,25.8,139.7,970.0,28.0
2011,8,30,12,3,26.1,139.3,970.0,28.0
2011,8,30,18,3,26.5,138.5,970.0,28.0
2011,8,31,0,3,26.6,137.9,970.0,28.0
2011,8,31,6,3,26.9,137.4,970.0,28.0
2011,8,31,12,3,27.1,137.0,970.0,28.0
2011,8,31,18,3,27.4,136.6,970.0,28.0
2011,9,1,0,3,27.8,136.3,970.0,28.0
2011,9,1,6,3,28.3,135.9,970.0,28.0
2011,9,1,12,3,28.9,135.6,970.0,28.0
2011,9,1,18,3,29.5,135.4,970.0,28.0
2011,9,2,0,3,30.3,135.1,970.0,28.0
2011,9,2,6,3,31.2,134.6,970.0,28.0
2011,9,2,12,3,32.2,134.3,970.0,28.0
2011,9,2,18,3,32.8,134.0,970.0,25.0
2011,9,3,0,3,33.4,133.9,980.0,25.0
2011,9,3,6,2,34.0,133.9,985.0,23.0
2011,9,3,12,2,34.7,134.0,990.0,23.0
2011,9,3,18,2,35.4,133.8,990.0,23.0
2011,9,4,0,2,35.8,133.7,994.0,20.0
2011,9,4,6,2,36.1,133.9,994.0,20.0
2011,9,4,12,2,36.7,134.1,994.0,20.0
2011,9,4,18,2,37.3,134.5,994.0,20.0
2011,9,5,0,2,39.4,136.1,994.0,20.0
2011,9,5,6,9,41.3,136.3,992.0,18.0
2011,9,5,12,9,42.5,136.5,992.0,18.0
2011,9,5,18,9,43.5,136.3,992.0,18.0
2011,9,6,0,9,44.7,135.7,992.0,16.0
