year,month,day,hour,power,lat,lng,PRES,WND
2012,8,3,6,1,24.0,162.0,1006.0,13.0
2012,8,3,12,1,23.7,162.1,1006.0,13.0
2012,8,3,18,1,23.5,162.4,1006.0,13.0
2012,8,4,0,1,23.7,162.7,1006.0,15.0
2012,8,4,6,1,23.7,162.4,1004.0,15.0
2012,8,4,12,1,23.6,161.8,1004.0,15.0
2012,8,4,18,1,23.2,161.6,1004.0,15.0
2012,8,5,0,1,22.9,161.7,1004.0,15.0
2012,8,5,6,1,23.4,162.2,1002.0,15.0
2012,8,5,12,1,24.4,162.6,1002.0,15.0
2012,8,5,18,1,25.0,162.5,1002.0,15.0
2012,8,6,0,1,25.9,162.5,1002.0,15.0
2012,8,6,6,1,26.7,162.8,1000.0,15.0
2012,8,6,12,2,27.8,162.7,998.0,18.0
2012,8,6,18,2,28.4,162.3,998.0,18.0
2012,8,7,0,2,29.0,161.9,998.0,18.0
2012,8,7,6,2,29.7,161.4,995.0,20.0
2012,8,7,12,2,30.2,160.8,996.0,20.0
2012,8,7,18,2,30.8,160.4,996.0,20.0
2012,8,8,0,2,31.4,159.5,996.0,20.0
2012,8,8,6,2,31.8,158.3,996.0,20.0
2012,8,8,12,2,32.8,157.2,996.0,20.0
2012,8,8,18,2,33.5,156.4,996.0,20.0
2012,8,9,0,2,34.3,155.3,996.0,20.0
2012,8,9,6,2,36.0,154.2,990.0,23.0
2012,8,9,12,2,37.6,152.9,990.0,23.0
2012,8,9,18,2,39.2,151.4,995.0,20.0
2012,8,10,0,2,41.5,149.8,995.0,20.0
2012,8,10,6,9,43.7,148.3,995.0,20.0
2012,8,10,12,9,45.9,147.5,1000.0,16.0
