year,month,day,hour,power,lat,lng,PRES,WND
2012,10,12,18,1,16.2,147.1,1008.0,15.0
2012,10,13,0,1,16.2,146.7,1006.0,15.0
2012,10,13,6,1,16.3,146.1,1004.0,15.0
2012,10,13,12,1,16.5,145.6,1004.0,15.0
2012,10,13,18,1,16.9,145.2,1002.0,15.0
2012,10,14,0,1,17.3,144.6,1000.0,15.0
2012,10,14,6,2,17.5,143.7,998.0,18.0
2012,10,14,12,2,17.9,143.1,998.0,18.0
2012,10,14,18,2,18.5,142.4,995.0,20.0
2012,10,15,0,2,19.3,141.9,995.0,23.0
2012,10,15,6,2,20.8,141.2,995.0,23.0
2012,10,15,12,2,22.7,141.1,995.0,23.0
2012,10,15,18,3,24.2,140.8,990.0,25.0
2012,10,16,0,3,25.5,140.7,990.0,25.0
2012,10,16,6,3,26.9,141.0,985.0,28.0
2012,10,16,12,3,27.5,141.6,985.0,28.0
2012,10,16,18,3,28.2,142.3,985.0,28.0
2012,10,17,0,3,28.8,143.5,990.0,25.0
2012,10,17,6,3,29.5,144.7,990.0,25.0
2012,10,17,12,2,30.3,146.6,995.0,23.0
2012,10,17,18,2,31.0,148.1,995.0,23.0
2012,10,18,0,2,31.6,150.7,995.0,23.0
2012,10,18,6,2,32.1,152.8,995.0,20.0
2012,10,18,12,2,32.1,154.9,998.0,18.0
2012,10,18,18,2,31.5,156.1,998.0,18.0
2012,10,19,0,1,31.4,157.4,1002.0,15.0
2012,10,19,6,1,31.2,158.7,1004.0,15.0
2012,10,19,12,1,31.2,159.6,1006.0,13.0
2012,10,19,18,1,31.7,160.6,1008.0,13.0
2012,10,20,0,1,32.3,161.1,1008.0,13.0
