year,month,day,hour,power,lat,lng,PRES,WND
2012,8,17,6,1,21.4,125.9,1006.0,13.0
2012,8,17,12,1,20.7,125.9,1004.0,15.0
2012,8,17,18,1,19.7,125.9,1004.0,15.0
2012,8,18,0,1,19.0,125.9,1004.0,15.0
2012,8,18,6,1,18.7,125.8,1002.0,15.0
2012,8,18,12,1,18.4,125.5,1002.0,15.0
2012,8,18,18,1,18.1,125.1,1002.0,15.0
2012,8,19,0,2,17.8,124.9,998.0,18.0
2012,8,19,6,2,17.7,124.8,998.0,18.0
2012,8,19,12,2,17.6,124.7,995.0,20.0
2012,8,19,18,3,17.6,124.6,990.0,25.0
2012,8,20,0,4,18.0,124.8,975.0,33.0
2012,8,20,6,5,18.4,125.0,950.0,45.0
2012,8,20,12,5,18.9,125.1,950.0,45.0
2012,8,20,18,5,19.5,125.3,945.0,48.0
2012,8,21,0,5,20.2,125.4,945.0,48.0
2012,8,21,6,5,21.1,125.4,950.0,45.0
2012,8,21,12,5,21.8,125.3,950.0,45.0
2012,8,21,18,5,22.2,125.0,950.0,45.0
2012,8,22,0,4,22.3,124.6,960.0,40.0
2012,8,22,6,4,22.5,124.4,960.0,40.0
2012,8,22,12,4,22.5,124.2,960.0,40.0
2012,8,22,18,4,22.5,123.9,960.0,40.0
2012,8,23,0,5,22.5,123.6,955.0,42.0
2012,8,23,6,5,22.6,123.3,950.0,45.0
2012,8,23,12,5,22.7,122.6,950.0,45.0
2012,8,23,18,5,22.4,121.4,945.0,48.0
2012,8,24,0,5,22.2,120.6,955.0,42.0
2012,8,24,6,4,22.2,120.0,970.0,35.0
2012,8,24,12,4,22.3,119.6,970.0,35.0
2012,8,24,18,4,22.4,119.0,975.0,33.0
2012,8,25,0,4,22.4,118.3,975.0,33.0
2012,8,25,6,4,22.3,117.8,975.0,33.0
2012,8,25,12,4,21.9,117.2,970.0,35.0
2012,8,25,18,4,21.4,116.8,965.0,38.0
2012,8,26,0,4,21.0,116.8,965.0,38.0
2012,8,26,6,4,20.8,116.9,965.0,38.0
2012,8,26,12,4,20.7,117.2,970.0,35.0
2012,8,26,18,4,20.5,117.7,970.0,35.0
2012,8,27,0,4,20.5,118.2,975.0,33.0
2012,8,27,6,4,20.9,119.0,975.0,33.0
2012,8,27,12,4,21.3,119.8,975.0,33.0
2012,8,27,18,4,21.7,121.0,975.0,33.0
2012,8,28,0,4,22.8,121.9,975.0,33.0
2012,8,28,6,4,24.0,122.9,975.0,33.0
2012,8,28,12,3,25.3,123.6,980.0,30.0
2012,8,28,18,3,26.5,123.6,985.0,28.0
2012,8,29,0,3,27.4,123.7,985.0,28.0
2012,8,29,6,3,28.6,124.0,980.0,30.0
2012,8,29,12,3,30.4,124.8,980.0,30.0
2012,8,29,18,3,32.0,125.2,980.0,30.0
2012,8,30,0,3,33.9,126.2,985.0,25.0
2012,8,30,6,2,35.7,127.8,994.0,23.0
2012,8,30,12,2,37.0,129.5,1000.0,20.0
2012,8,30,18,2,38.0,130.3,1002.0,18.0
2012,8,31,0,2,38.3,131.2,1004.0,18.0
2012,8,31,6,1,38.5,131.8,1006.0,15.0
2012,8,31,12,1,38.8,132.2,1008.0,12.0
2012,8,31,18,0,39.2,132.3,1010.0,10.0
2012,9,1,0,0,39.6,132.5,1012.0,10.0
