year,month,day,hour,power,lat,lng,PRES,WND
2013,11,3,6,1,6.0,156.0,1004.0,13.0
2013,11,3,12,1,6.1,154.7,1002.0,15.0
2013,11,3,18,1,6.2,153.2,1002.0,15.0
2013,11,4,0,2,6.2,152.0,1000.0,18.0
2013,11,4,6,2,6.2,150.2,995.0,20.0
2013,11,4,12,2,6.4,149.0,990.0,23.0
2013,11,4,18,3,6.5,147.3,985.0,25.0
2013,11,5,0,3,6.5,146.0,980.0,30.0
2013,11,5,6,4,6.6,144.6,970.0,35.0
2013,11,5,12,4,6.8,143.0,960.0,40.0
2013,11,5,18,5,7.2,141.3,950.0,45.0
2013,11,6,0,6,7.4,139.7,935.0,52.0
2013,11,6,6,6,7.6,137.9,935.0,52.0
2013,11,6,12,6,7.9,136.2,920.0,60.0
2013,11,6,18,6,8.2,134.3,920.0,60.0
2013,11,7,0,6,8.7,132.8,910.0,65.0
2013,11,7,6,6,9.3,131.1,905.0,68.0
2013,11,7,12,6,10.2,129.1,895.0,75.0
2013,11,7,18,6,10.6,127.0,890.0,78.0
2013,11,8,0,6,11.0,124.8,900.0,72.0
2013,11,8,6,6,11.4,122.6,930.0,55.0
2013,11,8,12,6,11.9,120.6,940.0,52.0
2013,11,8,18,5,12.3,118.1,950.0,45.0
2013,11,9,0,5,12.5,116.5,950.0,45.0
2013,11,9,6,5,13.5,114.8,950.0,45.0
2013,11,9,12,5,14.5,113.1,950.0,45.0
2013,11,9,18,5,15.4,111.6,950.0,45.0
2013,11,10,0,5,16.4,110.2,955.0,42.0
2013,11,10,6,4,17.9,109.0,960.0,40.0
2013,11,10,12,4,19.3,108.0,965.0,38.0
2013,11,10,18,4,20.5,107.4,975.0,33.0
2013,11,11,0,3,21.6,107.3,980.0,28.0
2013,11,11,6,2,22.4,107.9,995.0,20.0
2013,11,11,12,1,22.5,108.6,998.0,15.0
