year,month,day,hour,power,lat,lng,PRES,WND
2013,10,27,18,1,12.5,142.2,1006.0,13.0
2013,10,28,0,1,14.0,140.4,1006.0,13.0
2013,10,28,6,1,14.5,139.0,1006.0,13.0
2013,10,28,12,1,15.1,137.0,1006.0,13.0
2013,10,28,18,1,15.3,135.7,1004.0,15.0
2013,10,29,0,1,15.3,134.3,1004.0,15.0
2013,10,29,6,1,15.4,133.2,1002.0,15.0
2013,10,29,12,1,15.6,132.2,1002.0,15.0
2013,10,29,18,2,16.1,131.1,1000.0,18.0
2013,10,30,0,2,16.3,129.7,995.0,21.0
2013,10,30,6,3,16.9,128.5,988.0,25.0
2013,10,30,12,3,17.2,126.9,985.0,28.0
2013,10,30,18,4,17.5,125.4,975.0,33.0
2013,10,31,0,4,17.7,124.2,975.0,35.0
2013,10,31,6,4,18.0,123.1,960.0,40.0
2013,10,31,12,5,18.2,121.8,955.0,42.0
2013,10,31,18,4,18.7,120.3,960.0,40.0
2013,11,1,0,4,18.9,119.4,965.0,38.0
2013,11,1,6,4,19.1,118.2,965.0,38.0
2013,11,1,12,5,19.3,117.3,955.0,42.0
2013,11,1,18,5,19.5,116.4,950.0,45.0
2013,11,2,0,5,19.6,115.9,950.0,45.0
2013,11,2,6,5,19.9,115.3,950.0,45.0
2013,11,2,12,5,20.1,115.1,955.0,42.0
2013,11,2,18,4,20.3,114.8,975.0,35.0
2013,11,3,0,4,20.3,114.6,975.0,35.0
2013,11,3,6,3,20.3,114.4,980.0,30.0
2013,11,3,12,3,19.9,114.0,988.0,25.0
2013,11,3,18,2,19.2,113.3,990.0,23.0
2013,11,4,0,2,18.5,112.4,995.0,18.0
2013,11,4,6,1,17.6,111.3,1000.0,15.0
2013,11,4,12,1,16.9,110.2,1002.0,15.0
