year,month,day,hour,power,lat,lng,PRES,WND
2013,6,16,6,0,12.2,128.2,1002.0,10.0
2013,6,16,12,0,12.4,127.5,1002.0,10.0
2013,6,16,18,1,12.7,127.1,1002.0,13.0
2013,6,17,0,1,13.2,126.9,1002.0,15.0
2013,6,17,6,1,13.8,126.7,1000.0,15.0
2013,6,17,12,1,14.6,126.7,1000.0,15.0
2013,6,17,18,1,15.5,126.6,998.0,15.0
2013,6,18,0,2,16.7,126.6,996.0,18.0
2013,6,18,6,2,17.7,126.4,996.0,18.0
2013,6,18,12,2,18.9,126.3,992.0,20.0
2013,6,18,18,2,19.9,126.0,992.0,20.0
2013,6,19,0,2,20.9,125.7,992.0,20.0
2013,6,19,6,2,22.4,125.3,992.0,20.0
2013,6,19,12,2,23.9,125.1,992.0,20.0
2013,6,19,18,2,25.2,124.9,994.0,20.0
2013,6,20,0,2,26.8,125.0,996.0,20.0
2013,6,20,6,2,28.5,125.3,996.0,18.0
2013,6,20,12,2,29.9,125.5,996.0,18.0
2013,6,20,18,2,30.9,126.5,996.0,18.0
2013,6,21,0,9,32.0,127.3,998.0,15.0
2013,6,21,6,9,32.7,129.8,1000.0,15.0
2013,6,21,12,9,32.4,135.6,1004.0,13.0
2013,6,21,18,9,32.6,140.0,1000.0,13.0
2013,6,22,0,9,33.4,145.8,1000.0,10.0
2013,6,22,6,9,34.1,150.1,1000.0,10.0
