year,month,day,hour,power,lat,lng,PRES,WND
2013,9,11,18,1,19.6,148.2,1008.0,13.0
2013,9,12,0,1,20.5,146.6,1008.0,13.0
2013,9,12,6,1,20.8,145.7,1006.0,15.0
2013,9,12,12,1,20.9,145.2,1004.0,15.0
2013,9,12,18,1,21.0,144.5,1004.0,15.0
2013,9,13,0,2,22.0,142.6,1000.0,18.0
2013,9,13,6,2,22.8,140.8,998.0,18.0
2013,9,13,12,2,23.3,139.9,998.0,18.0
2013,9,13,18,2,23.5,138.8,994.0,20.0
2013,9,14,0,2,24.2,137.5,990.0,23.0
2013,9,14,6,3,25.1,136.6,985.0,25.0
2013,9,14,12,3,26.3,135.6,985.0,25.0
2013,9,14,18,3,27.3,135.0,985.0,25.0
2013,9,15,0,3,28.6,134.4,980.0,25.0
2013,9,15,6,3,30.1,134.5,975.0,28.0
2013,9,15,12,3,31.5,135.1,970.0,30.0
2013,9,15,18,3,32.9,135.9,970.0,30.0
2013,9,16,0,3,35.2,137.6,975.0,28.0
2013,9,16,6,3,37.9,141.2,980.0,25.0
2013,9,16,12,9,40.8,144.4,980.0,20.0
2013,9,16,18,9,45.0,149.9,980.0,15.0
2013,9,17,0,9,50.0,154.0,980.0,15.0
