year,month,day,hour,power,lat,lng,PRES,WND
2013,6,27,6,1,9.0,132.2,1006.0,13.0
2013,6,27,12,1,9.0,131.2,1006.0,13.0
2013,6,27,18,1,9.1,130.3,1004.0,13.0
2013,6,28,0,1,9.4,129.3,1002.0,15.0
2013,6,28,6,1,9.8,128.4,1000.0,15.0
2013,6,28,12,1,10.3,127.6,1000.0,15.0
2013,6,28,18,2,11.0,126.7,998.0,18.0
2013,6,29,0,2,11.6,125.2,998.0,18.0
2013,6,29,6,2,12.4,124.3,998.0,18.0
2013,6,29,12,2,13.2,123.2,998.0,18.0
2013,6,29,18,2,13.8,121.3,998.0,18.0
2013,6,30,0,2,14.6,119.7,996.0,20.0
2013,6,30,6,2,15.5,118.3,996.0,20.0
2013,6,30,12,2,16.7,117.1,992.0,23.0
2013,6,30,18,2,17.6,115.5,992.0,23.0
2013,7,1,0,3,18.3,114.0,988.0,25.0
2013,7,1,6,3,19.0,112.7,980.0,28.0
2013,7,1,12,3,19.7,111.7,972.0,30.0
2013,7,1,18,3,20.6,110.7,972.0,30.0
2013,7,2,0,3,21.4,110.0,980.0,25.0
2013,7,2,6,2,22.8,109.4,990.0,23.0
2013,7,2,12,1,24.1,108.4,998.0,15.0
2013,7,2,18,0,25.2,107.2,1000.0,10.0
