year,month,day,hour,power,lat,lng,PRES,WND
2013,8,16,0,1,23.0,123.6,1004.0,13.0
2013,8,16,6,1,22.7,123.2,1002.0,13.0
2013,8,16,12,1,22.3,123.5,1002.0,13.0
2013,8,16,18,1,21.8,124.2,1000.0,15.0
2013,8,17,0,1,21.4,124.8,1000.0,15.0
2013,8,17,6,1,20.8,125.5,1000.0,15.0
2013,8,17,12,1,20.3,126.1,1000.0,15.0
2013,8,17,18,1,20.2,126.7,998.0,15.0
2013,8,18,0,1,20.3,127.1,998.0,15.0
2013,8,18,6,2,20.3,127.5,995.0,18.0
2013,8,18,12,2,20.1,127.7,995.0,18.0
2013,8,18,18,2,19.9,127.9,995.0,18.0
2013,8,19,0,2,19.9,128.1,992.0,20.0
2013,8,19,6,2,20.0,128.2,988.0,23.0
2013,8,19,12,2,20.3,128.4,988.0,23.0
2013,8,19,18,3,20.8,128.6,985.0,25.0
2013,8,20,0,3,21.8,128.3,982.0,28.0
2013,8,20,6,3,23.1,127.6,982.0,28.0
2013,8,20,12,3,23.8,126.9,980.0,30.0
2013,8,20,18,4,24.5,126.2,975.0,33.0
2013,8,21,0,4,25.3,124.5,975.0,33.0
2013,8,21,6,4,25.6,122.8,975.0,33.0
2013,8,21,12,4,25.9,121.1,965.0,35.0
2013,8,21,18,4,25.7,119.7,956.0,35.0
2013,8,22,0,3,26.0,118.5,977.0,25.0
2013,8,22,6,2,26.6,117.2,985.0,20.0
2013,8,22,12,2,27.1,115.8,985.0,18.0
2013,8,22,18,2,27.4,114.7,985.0,18.0
2013,8,23,0,1,27.4,113.6,990.0,15.0
2013,8,23,6,1,27.3,112.4,990.0,15.0
2013,8,23,12,1,27.0,111.5,995.0,13.0
