year,month,day,hour,power,lat,lng,PRES,WND
2013,9,16,6,1,17.5,132.4,1006.0,13.0
2013,9,16,12,1,17.1,132.2,1002.0,15.0
2013,9,16,18,2,17.3,132.0,1000.0,18.0
2013,9,17,0,2,17.6,131.6,1000.0,18.0
2013,9,17,6,2,17.6,131.2,1000.0,18.0
2013,9,17,12,2,17.4,130.9,996.0,20.0
2013,9,17,18,2,17.2,130.7,990.0,23.0
2013,9,18,0,3,17.0,130.5,985.0,25.0
2013,9,18,6,3,17.2,130.1,982.0,28.0
2013,9,18,12,4,17.3,129.6,975.0,33.0
2013,9,18,18,4,17.2,128.7,965.0,38.0
2013,9,19,0,4,17.0,128.3,960.0,40.0
2013,9,19,6,5,17.5,128.0,945.0,48.0
2013,9,19,12,6,18.2,127.2,920.0,58.0
2013,9,19,18,6,18.8,126.4,915.0,60.0
2013,9,20,0,6,19.3,125.5,915.0,60.0
2013,9,20,6,6,19.7,124.6,915.0,60.0
2013,9,20,12,6,20.1,123.8,920.0,58.0
2013,9,20,18,6,20.4,122.7,920.0,58.0
2013,9,21,0,6,20.6,121.8,925.0,55.0
2013,9,21,6,6,20.8,120.8,925.0,55.0
2013,9,21,12,6,21.1,119.8,930.0,52.0
2013,9,21,18,5,21.4,118.9,930.0,50.0
2013,9,22,0,5,21.8,117.9,930.0,50.0
2013,9,22,6,5,22.4,116.8,930.0,50.0
2013,9,22,12,5,22.8,115.4,935.0,45.0
2013,9,22,18,4,23.1,113.9,975.0,33.0
2013,9,23,0,1,23.7,112.3,988.0,16.0
2013,9,23,6,1,24.2,111.2,994.0,13.0
2013,9,23,12,1,24.7,109.9,998.0,13.0
2013,9,23,18,0,25.1,108.8,1000.0,10.0
2013,9,24,0,0,24.8,107.8,1002.0,10.0
