year,month,day,hour,power,lat,lng,PRES,WND
2013,8,8,18,1,12.7,135.9,1006.0,15.0
2013,8,9,0,1,13.3,135.1,1004.0,15.0
2013,8,9,6,1,13.7,133.6,1002.0,15.0
2013,8,9,12,2,13.7,132.6,998.0,18.0
2013,8,9,18,2,13.6,131.6,990.0,23.0
2013,8,10,0,3,13.6,130.6,984.0,28.0
2013,8,10,6,4,13.9,129.2,970.0,35.0
2013,8,10,12,4,14.0,128.1,965.0,38.0
2013,8,10,18,4,14.2,127.1,965.0,38.0
2013,8,11,0,5,14.5,125.9,960.0,42.0
2013,8,11,6,6,15.1,124.8,948.0,52.0
2013,8,11,12,6,15.5,123.6,925.0,60.0
2013,8,11,18,6,16.1,122.2,940.0,55.0
2013,8,12,0,5,16.7,120.7,950.0,45.0
2013,8,12,6,4,17.2,119.2,960.0,40.0
2013,8,12,12,4,17.8,117.9,960.0,40.0
2013,8,12,18,4,18.0,116.7,960.0,40.0
2013,8,13,0,5,18.4,115.2,955.0,42.0
2013,8,13,6,5,18.9,114.1,955.0,42.0
2013,8,13,12,5,19.3,113.5,955.0,42.0
2013,8,13,18,5,19.8,113.0,955.0,42.0
2013,8,14,0,5,20.6,112.3,955.0,42.0
2013,8,14,6,5,21.5,112.0,955.0,42.0
2013,8,14,12,4,21.9,111.4,970.0,35.0
2013,8,14,18,3,22.4,110.9,985.0,25.0
2013,8,15,0,2,23.1,110.7,988.0,20.0
2013,8,15,6,2,23.6,110.7,992.0,18.0
2013,8,15,12,1,24.1,110.9,994.0,15.0
2013,8,15,18,1,24.3,111.2,994.0,15.0
2013,8,16,0,1,24.7,111.5,994.0,15.0
2013,8,16,6,1,24.8,111.4,994.0,15.0
2013,8,16,12,1,24.7,111.1,994.0,15.0
2013,8,16,18,1,24.6,110.8,994.0,15.0
2013,8,17,0,1,24.3,110.4,994.0,15.0
2013,8,17,6,1,24.0,110.1,994.0,15.0
2013,8,17,12,1,23.8,109.8,994.0,15.0
2013,8,17,18,1,23.6,109.7,994.0,15.0
2013,8,18,0,1,23.4,109.2,996.0,13.0
2013,8,18,6,0,23.1,108.7,998.0,10.0
